line	host	regSeed	seed	notes	code	wins	losses	conference	name	r2Id	utrId	masseyId
 1	FLA 	1	 1	  	FLA  	20	 2	SEC       	Florida            	383685	 937	2625
 2	FLA 	4	  	AQ	SALA 	12	 7	Sun Belt  	South Alabama      	383762	1280	7237
 3	FLA 	3	  	  	DUKE 	12	10	ACC       	Duke               	382584	 866	2265
 4	FLA 	2	  	  	USF  	16	 9	AAC       	South Florida      	383772	1181	7278
 5	ILL 	2	  	  	ND   	14	10	ACC       	Notre Dame         	383741	1015	5749
 6	ILL 	3	  	AQ	WMU  	22	 1	MAC       	Western Michigan   	383891	 963	8767
 7	ILL 	4	  	AQ	DEP  	15	 5	Big East  	DePaul             	382556	1189	2157
 8	ILL 	1	16	AQ	ILL  	21	 2	Big Ten   	Illinois           	383692	 999	3425
 9	UCF 	1	 9	AQ	UCF  	21	 3	AAC       	Central Florida    	383671	1179	1380
10	UCF 	4	  	AQ	MONM 	14	 2	MAAC      	Monmouth (NJ)      	383065	1276	5023
11	UCF 	3	  	L4	MIA  	 8	10	ACC       	Miami (FL)         	383712	2459	4719
12	UCF 	2	  	  	MSST 	16	 9	SEC       	Mississippi State  	383050	1268	4936
13	A&M 	2	  	  	OKLA 	10	14	Big 12    	Oklahoma           	383742	 921	5886
14	A&M 	3	  	AQ	DEN  	16	 3	The Summit	Denver             	383681	 981	2147
15	A&M 	4	  	AQ	UNM  	 8	 9	MWC       	New Mexico         	383728	1092	5371
16	A&M 	1	 8	  	A&M  	16	 8	SEC       	Texas A&M          	383491	 933	7848
17	UVA 	1	 5	AQ	UVA  	21	 2	ACC       	Virginia           	383802	 917	8432
18	UVA 	4	  	AQ	FDU  	 6	 4	NEC       	Fairleigh Dickinson	382643	1177	2536
19	UVA 	3	  	L4	LSU  	12	12	SEC       	LSU                	382957	2944	4206
20	UVA 	2	  	  	STAN 	10	 5	Pac-12    	Stanford           	383446	 935	7582
21	USC 	2	  	AQ	PEPP 	15	 6	WCC       	Pepperdine         	383210	 949	6161
22	USC 	3	  	AQ	UCSB 	10	 5	Big West  	UC Santa Barbara   	383553	1306	8127
23	USC 	4	  	AQ	GCU  	 8	12	WAC       	Grand Canyon       	382737	1457	2993
24	USC 	1	12	AQ	USC  	20	 6	Pac-12    	USC                	383773	 913	8251
25	SCAR	1	13	  	SCAR 	15	 9	SEC       	South Carolina     	383763	1031	7242
26	SCAR	4	  	AQ	UNCW 	15	 5	CAA       	UNC Wilmington     	383565	1071	8165
27	SCAR	3	  	AQ	FGCU 	 9	 6	ASUN      	Florida Gulf Coast 	382658	1337	2649
28	SCAR	2	  	  	NCST 	11	 8	ACC       	N.C. State         	383126	1094	5511
29	TEX 	2	  	  	UCLA 	13	 6	Pac-12    	UCLA               	383556	 925	8141
30	TEX 	3	  	L4	NW   	13	 7	Big Ten   	Northwestern       	383150	1206	5704
31	TEX 	4	  	AQ	NAU  	 8	 8	Big Sky   	Northern Arizona   	383137	1059	5620
32	TEX 	1	 4	  	TEX  	20	 5	Big 12    	Texas              	383784	 929	7840
33	TENN	1	 3	AQ	TENN 	24	 3	SEC       	Tennessee          	383780	 911	7801
