seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
 1	FLA  	Duarte Vale                         	S	 1	15	 6	  	  	  	 	  	 	  	  	  	  	15	 6	23	 6	459591	      
 1	FLA  	Sam Riffice                         	S	 2	  	  	16	4 	2 	0	  	 	  	  	  	  	18	 4	23	 7	488586	      
 1	FLA  	Andy Andrade                        	S	 3	  	  	2 	0 	12	7	  	 	  	  	  	  	14	 7	22	 7	385909	      
 1	FLA  	Blaise Bicknell                     	S	 4	  	  	  	  	  	 	15	0	1 	0 	4 	0 	20	 0	29	 0	509770	      
 1	FLA  	Ben Shelton                         	S	 5	  	  	  	  	  	 	1 	0	15	4 	1 	0 	17	 4	24	 5	561860	      
 1	FLA  	Josh Goodger                        	S	 6	  	  	  	  	  	 	  	 	1 	0 	12	0 	13	 0	19	 0	511775	      
 1	FLA  	Johannes Ingildsen                  	S	 7	  	  	  	  	  	 	3 	3	  	  	1 	0 	 4	 3	 4	 3	417806	      
 1	FLA  	Lukas Greif                         	S	 8	  	  	  	  	  	 	  	 	1 	0 	3 	1 	 4	 1	11	 2	488587	      
 1	FLA  	Brian Berdusco                      	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 4	 3	488592	      
 1	FLA  	Will Grant                          	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 5	 2	509771	      
 1	FLA  	Ingildsen/Vale                      	D	 1	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	417806	459591
 1	FLA  	Riffice/Shelton                     	D	 2	  	  	  	  	4 	0	  	 	  	  	  	  	 4	 0	 6	 1	488586	561860
 1	FLA  	Berdusco/Grant                      	D	 3	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 0	488592	509771
 1	FLA  	Andrade/Goodger                     	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 1	385909	511775
