line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
1	1	FLA  	S	1	Duarte Vale              	                         	15	6											15	6	23	6
1	1	FLA  	S	2	Sam Riffice              	                         			16	4	2	0							18	4	23	7
1	1	FLA  	S	3	Andy Andrade             	                         			2	0	12	7							14	7	22	7
1	1	FLA  	S	4	Blaise Bicknell          	                         							15	0	1	0	4	0	20	0	29	0
1	1	FLA  	S	5	Ben Shelton              	                         							1	0	15	4	1	0	17	4	24	5
1	1	FLA  	S	6	Josh Goodger             	                         									1	0	12	0	13	0	19	0
1	1	FLA  	S	7	Johannes Ingildsen       	                         							3	3			1	0	4	3	4	3
1	1	FLA  	S	8	Lukas Greif              	                         									1	0	3	1	4	1	11	2
1	1	FLA  	S	9	Brian Berdusco           	                         													0	0	4	3
1	1	FLA  	S	10	Will Grant               	                         													0	0	5	2
1	1	FLA  	D	1	Johannes Ingildsen       	Duarte Vale              													0	0	0	0
1	1	FLA  	D	2	Sam Riffice              	Ben Shelton              					4	0							4	0	6	1
1	1	FLA  	D	3	Brian Berdusco           	Will Grant               													0	0	1	0
1	1	FLA  	D	4	Andy Andrade             	Josh Goodger             													0	0	0	1
64	2	BAY  	S	1	Adrian Boitan            	                         	14	4	1	1									15	5	15	5
64	2	BAY  	S	2	Matias Soto              	                         	2	1	12	3									14	4	18	4
64	2	BAY  	S	3	Sven Lah                 	                         	2	0			6	7	1	2					9	9	11	12
64	2	BAY  	S	4	Nick Stachowiak          	                         	1	0	3	0	0	3	8	2					12	5	19	7
64	2	BAY  	S	5	Charlie Broom            	                         	1	0	1	1	1	0	1	0	17	2			21	3	24	6
64	2	BAY  	S	6	Spencer Furman           	                         	1	0	2	0	3	0			1	0	11	2	18	2	21	3
64	2	BAY  	S	7	Constantin Frantzen      	                         	1	0	1	0	3	0	1	0	1	0	2	0	9	0	9	0
64	2	BAY  	S	8	Ryan Dickerson           	                         			4	0	2	0	2	0	2	0	2	0	12	0	12	0
64	2	BAY  	S	9	Finn Bass                	                         	1	0			2	0	4	0	1	0	0	1	8	1	15	3
64	2	BAY  	S	10	Alex Garcia              	                         							2	0	2	0	3	0	7	0	7	0
64	2	BAY  	S	11	Sebastian Nothhaft       	                         					1	0	0	1	2	0	4	0	7	1	13	5
64	2	BAY  	S	12	Christopher Frantzen     	                         							2	0	3	0	1	0	6	0	7	0
64	2	BAY  	S	13	Rahul Dhokia             	                         									1	0	1	0	2	0	2	2
64	2	BAY  	S	14	Joseph Chen              	                         											2	0	2	0	3	0
64	2	BAY  	D	1	Sven Lah                 	Constantin Frantzen      	11	7											11	7	11	7
64	2	BAY  	D	2	Nick Stachowiak          	Matias Soto              			7	1									7	1	10	1
64	2	BAY  	D	3	Charlie Broom            	Finn Bass                					5	3							5	3	5	3
64	2	BAY  	D	4	Ryan Dickerson           	Adrian Boitan            	1	0	1	0									2	0	2	0
33	3	TENN 	S	1	Adam Walton              	                         	8	7	2	1									10	8	16	10
33	3	TENN 	S	2	Johannus Monday          	                         	4	1	17	3	1	0							22	4	31	6
33	3	TENN 	S	3	Martim Prata             	                         	1	0	2	0	11	8	1	0					15	8	22	12
33	3	TENN 	S	4	Luca Wiedenmann          	                         							8	2	12	1			20	3	30	4
33	3	TENN 	S	5	Giles Hussey             	                         					2	0	7	3	9	0			18	3	29	4
33	3	TENN 	S	6	Pat Harper               	                         									0	1	5	3	5	4	12	5
33	3	TENN 	S	7	Andrew Rogers            	                         											3	3	3	3	10	3
