orgId	name
26172	A&M-Corpus Christi
8	Alabama
6	Alabama A&M
29	Arizona
28	Arizona St.
31	Arkansas
51	Baylor
14927	Belmont
148	Cleveland St.
176	DePaul
183	Denver
193	Duke
198	ETSU
28755	FGCU
222	Fairleigh Dickinson
235	Florida
257	Georgia
255	Georgia Tech
1104	Grand Canyon
301	Illinois
334	Kentucky
365	LSU
355	Liberty
404	Memphis
415	Miami (FL)
418	Michigan
419	Middle Tenn.
430	Mississippi St.
439	Monmouth
490	NC State
726	Navy
473	New Mexico
457	North Carolina
501	Northern Ariz.
509	Northwestern
513	Notre Dame
518	Ohio St.
522	Oklahoma
521	Oklahoma St.
433	Ole Miss
529	Oregon
541	Pepperdine
1320	Presbyterian
646	South Alabama
648	South Carolina
647	South Carolina St.
651	South Fla.
657	Southern California
674	Stanford
698	TCU
694	Tennessee
703	Texas
697	Texas A&M
700	Texas Tech
718	Tulane
104	UC Santa Barbara
128	UCF
110	UCLA
460	UNCW
740	VCU
746	Virginia
742	Virginia Tech
749	Wake Forest
774	Western Mich.
782	Wichita St.
