

School:	Alabama			
Coach:	George Husack	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Edson Ortiz 	5	5	5	3	2	2							12	10	13	12	
 2 	Patrick Kaukovalta 	4	3	3	2	2	6							9	11	15	17	
 3 	Zhe Zhou 	2	6	4	2	3	1							9	9	15	15	
 4 	Riccardo Roberto 			0	1			5	7	6	0			11	8	19	12	
 5 	Gabriel Diaz Freire 			2	0	2	1	2	4	3	1	1	0	10	6	15	10	
 6 	Alexey Nesterov 							2	0	2	0	3	6	7	6	12	10	
 7 	Jeremy Gschwendtner 					1	0	2	0	4	3	4	1	11	4	20	7	
 8 	Marcelo Sepulveda Garza 											1	0	1	0	5	7	
 9 	Rudi Christiansen 									1	0	3	0	4	0	6	1	
 10 	Vincent Rettke 					1	1	1	0	1	1	1	2	4	4	13	7	
 11 	Sam Fischer 											0	0	0	0	2	4	
 12 	Avi Shugar 											1	0	1	0	4	4	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Patrick Kaukovalta	Riccardo Roberto 	10	7	1	2			11	9	16	14	
 2 	Alexey Nesterov	Edson Ortiz 			3	3	4	4	7	7	7	7	
 3 	Marcelo Sepulveda Garza	Zhe Zhou 					0	2	0	2	0	2	
 4 	Gabriel Diaz Freire	Jeremy Gschwendtner 					0	0	0	0	0	0	

