

School:	Alabama A&M			
Coach:	Willis Mbandi	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Rodrigo Arana Rios 	1	10											1	10	1	10	
 2 	Gjorgji Popovski 			6	6									6	6	6	6	
 3 	Fermin Ruiz 			0	3	0	9							0	12	0	12	
 4 	Natiphat Mulada 							5	2	0	2			5	4	5	4	
 5 	Panji Setiawan 							0	3	4	4			4	7	4	7	
 6 	Divesh Gahlot 											3	0	3	0	3	0	
 7 	Cheng Chang 									0	2	1	2	1	4	1	4	
 8 	German Ruiz Crespo 											0	2	0	2	0	2	
 9 	Austin Smith 											0	1	0	1	0	1	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Panji Setiawan	Rodrigo Arana Rios 	3	7					3	7	3	7	
 2 	Gjorgji Popovski	Cheng Chang 	3	7					3	7	3	7	
 3 	Divesh Gahlot	Fermin Ruiz 	1	1					1	1	1	1	
 4 	German Ruiz Crespo	Natiphat Mulada 	0	0					0	0	0	0	

