

School:	A&M-Corpus Christi			
Coach:	Steve Moore	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Kyohei Yamanaka 	10	7											10	7	11	9	
 2 	Ryuya Ata 	1	4	7	4									8	8	9	8	
 3 	Nathan Schwartz 			4	0	7	4	2	0					13	4	15	5	
 4 	Pascal Loriel 	1	0	1	0	3	0	10	0					15	0	17	1	
 5 	Borja Delgado 					4	0	1	0	4	0	5	1	14	1	14	1	
 6 	Guillermo Castaneda 							4	0	2	0	4	1	10	1	10	1	
 7 	Carlos Berna Ruiz 							2	0	5	4	0	1	7	5	12	7	
 8 	Chad Nguyen 									3	0	1	0	4	0	5	0	
 9 	Ernesto Mealla 											3	0	3	0	3	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	K.Yamanaka	R. Ata 	8	6	3	0			11	6	12	9	
 2 	N. Schwartz	P. Lorieul 	2	0	2	2			4	2	15	8	
 3 	B.Delgado	C. Berna Ruiz 					5	0	5	0	18	4	
 4 	C. Nguyen	G.Castaneda 					9	3	9	3	10	3	

