

School:	Arizona			
Coach:	Clancy Shields	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Gustaf Strom 	3	1	5	1	9	0							17	2	17	2	
 2 	Jonas Ziverts 	8	7	1	1									9	8	9	8	
 3 	Filip Malbasic 			3	3	5	4	6	2					14	9	14	9	
 4 	Herman Hoeyeraal 									1	0	3	0	4	0	4	0	
 5 	Alejandro Reguant 	3	0	4	3	1	0	5	3					13	6	13	6	
 6 	Carlos Hassey 					1	0	1	0	9	6	1	1	12	7	12	7	
 7 	Nick Lagaev 			1	0	1	0	1	0	2	0	8	5	13	5	13	5	
 8 	Hiroki Sakagawa 									3	0			3	0	3	0	
 9 	Igor Karpovets 							2	0	0	1			2	1	2	1	
 10 	Jett Middleton 					1	0	1	0			2	0	4	0	4	0	
 11 	Conner Olsen 											2	1	2	1	2	1	
 12 	Jared Horwood 									1	0			1	0	1	0	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Carlos Hassey	Alejandro Reguant 	1	0	9	3	0	0	10	3	10	3	
 2 	Jonas Ziverts	Herman Hoeyeraal 	0	0	0	0	0	0	0	0	0	0	
 3 	Gustaf Strom	Filip Malbasic 	0	0	2	0	7	5	9	5	9	5	
 4 	Jett MIddleton	Nick Lagaev 	0	0	0	0	0	0	0	0	0	0	

