

School:	Arizona St.			
Coach:	Matt Hill	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Nathan Ponwtih 	14	7	1	0									15	7	15	7	
 2 	Makey Rakotomalala 	0	1	4	8	3	1	2	0					9	10	9	10	
 3 	Tim Ruehl 	1	0	3	3	6	2							10	5	10	5	
 4 	George Stoupe 							4	4	3	6	3	0	10	10	10	10	
 5 	Max McKennon 							1	2	3	2	0	1	4	5	4	5	
 6 	Christian Lerby 					2	1			1	1	9	5	12	7	12	7	
 7 	Spencer Brachman 									0	1	1	0	1	1	1	1	
 8 	Jonah Wilson 									2	0	1	2	3	2	3	2	
 9 	Moritz Hoffmann 									1	2			1	2	1	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Makey Rakotomalala	Tim Ruehl 	1	2	5	2			6	4	6	4	
 2 	Max McKennon	Nathan Ponwith 	1	1	4	1			5	2	5	2	
 3 	Christian Lerby	George Stoupe 					3	1	3	1	3	1	
 4 	Moritz Hoffmann	Jonah Wilson 					1	1	1	1	1	1	

