

School:	Arkansas			
Coach:	Andy Jackson	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Alex Reco 	2	11	5	0									7	11	8	12	
 2 	Max Verboven 	2	5	1	7									3	12	3	12	
 3 	Nico Rousett 	1	0	3	4	8	5							12	9	15	12	
 4 	Aleksa Bucan 	0	1	0	1	3	2	3	4					6	8	10	10	
 5 	Adrien Burdet 							0	3	11	10			11	13	11	13	
 6 	Enrique Paya 									0	1	6	10	6	11	6	11	
 7 	Melvin Manuel 					0	1	6	7	0	1	1	1	7	10	9	14	
 8 	Hunter Harrison 											0	1	0	1	4	4	
 9 	Jose Dominguez Alonso 			1	0	0	1							1	1	1	1	
 10 	Avery Zavala 											2	0	2	0	4	4	
 11 	Riccardo Trione 					1	0							1	0	1	0	
 12 	Josh Bortnick 											0	0	0	0	3	3	
 13 	Foster Rogers 											0	0	0	0	2	3	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Hunter Harrison	Enrique Paya 	3	7					3	7	3	7	
 2 	Adrien Burdet	Melvin Manuel 			6	4	1	0	7	4	7	4	
 3 	Alex Reco	Nico Rouset 	0	1	0	1	11	6	11	8	11	8	
 4 	Avery Zavala	Max Verboven 			0	2			0	2	0	2	

