

School:	Baylor			
Coach:	Michael Woodson	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Adrian Boitan 	14	4	1	1									15	5	15	5	
 2 	Matias Soto 	2	1	12	3									14	4	18	4	
 3 	Sven Lah 	2	0			6	7	1	2					9	9	11	12	
 4 	Nick Stachowiak 	1	0	3	0	0	3	8	2					12	5	19	7	
 5 	Charlie Broom 	1	0	1	1	1	0	1	0	17	2			21	3	24	6	
 6 	Spencer Furman 	1	0	2	0	3	0			1	0	11	2	18	2	21	3	
 7 	Constantin Frantzen 	1	0	1	0	3	0	1	0	1	0	2	0	9	0	9	0	
 8 	Ryan Dickerson 			4	0	2	0	2	0	2	0	2	0	12	0	12	0	
 9 	Finn Bass 	1	0			2	0	4	0	1	0	0	1	8	1	15	3	
 10 	Alex Garcia 							2	0	2	0	3	0	7	0	7	0	
 11 	Sebastian Nothhaft 					1	0	0	1	2	0	4	0	7	1	13	5	
 12 	Christopher Frantzen 							2	0	3	0	1	0	6	0	7	0	
 13 	Rahul Dhokia 									1	0	1	0	2	0	2	2	
 14 	Joseph Chen 											2	0	2	0	3	0	
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Sven Lah	Constantin Frantzen 	11	7					11	7	11	7	
 2 	Nick Stachowiak	Matias Soto 			7	1			7	1	10	1	
 3 	Charlie Broom	Finn Bass 					5	3	5	3	5	3	
 4 	Ryan Dickerson	Adrian Boitan 	1	0	1	0			2	0	2	0	

