

School:	Belmont			
Coach:	Mauricio Antun	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Marko Ilic 	13	4											13	4	13	4	
 2 	Arthur Toledo 			13	3									13	3	13	3	
 3 	Tomas Luis 			0	1	7	5	2	1	1	0			10	7	10	7	
 4 	Diego Castro 							6	4	3	2	1	0	10	6	10	6	
 5 	Taisei Miyamoto 					3	1	0	3	5	3			8	7	8	7	
 6 	Alfred Wallin 							1	0	1	0	9	4	11	4	11	4	
 7 	Jake Briggs 											1	0	1	0	1	0	
 8 	David Faulkner 											0	0	0	0	0	0	
 9 	Grant Kelly 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Marko Ilic	Taisei Miyamoto 	11	6					11	6	11	6	
 2 	Diego Castro	Tomas Luis 			11	2			11	2	11	2	
 3 	Jake Briggs	Arthur Toledo 					8	3	8	3	8	3	
 4 	Grant Kelly	Alfred Wallin 					0	1	0	1	0	1	

