

School:	Cleveland St.			
Coach:	Brian Etzkin	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Nico Mostardi 	6	3											6	3	6	3	
 2 	Matt Terry 	9	2	6	2									15	4	15	4	
 3 	Luke Phillips 			10	1	4	2	3	0					17	3	17	3	
 4 	Maxime Mareschal-Hay 			2	0	12	2	3	2					17	4	17	4	
 5 	Clark Bilinovich 					0	1	7	3	2	2			9	6	9	6	
 6 	Raul Teichmann 							1	0	2	2	0	2	3	4	3	4	
 7 	Kade Mindry 									1	2	3	2	4	4	4	4	
 8 	Juandedios Abboud 							0	1	5	3	2	5	7	9	7	9	
 9 	Jack Santilli 									0	1	4	1	4	2	4	2	
 10 	Austin Staiger 											1	2	1	2	1	2	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Nico Mostardi	Luke Phillips 	11	4					11	4	11	4	
 2 	Matt Terry	Maxime Mareschal-Hay 	11	4					11	4	11	4	
 3 	Clark Bilinovich	Kade Mindry 					6	0	6	0	6	0	
 4 	Raul Teichmann	Jack Santilli 					1	0	1	0	1	0	

