

School:	Denver			
Coach:	Ricardo Rubio	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	James Davis 	4	1	6	0	4	1							14	2	14	2	
 2 	Mattia Ros 	2	7	4	1	2	0							8	8	8	8	
 3 	Matt Summers 	0	3	1	2	9	1							10	6	10	6	
 4 	Peter Sallay 							12	4					12	4	12	4	
 5 	Nicolas Herrero Cuesta 									10	1	4	0	14	1	14	1	
 6 	Ignacio Rivero Crespo 							1	0			8	1	9	1	9	1	
 7 	Daniel Krulig 									3	2	3	0	6	2	6	2	
 8 	Charlie Miller 											1	0	1	0	1	0	
 9 	John Zakowski 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Matt Summers	James Davis 	14	5					14	5	14	5	
 2 	Mattia Ros	Peter Sallay 			7	6			7	6	7	6	
 3 	Nicolas Herrero Cuesta	Ignacio Rivero Crespo 					10	4	10	4	10	4	
 4 	Daniel Krulig	Charlie Miller 					0	0	0	0	0	0	

