

School:	DePaul			
Coach:	Matt Brothers	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Vito Tonejc 	11	5	2	0									13	5	13	5	
 2 	Christopher Casati 	1	3	3	7	4	2							8	12	8	12	
 3 	Boris Spanjaard 			3	1	8	4	1	1					12	6	12	6	
 4 	Tamas Zador 			2	1	0	1	1	1					3	3	3	3	
 5 	Fran Tonejc 					2	0	5	5	1	3			8	8	8	8	
 6 	Luuk Wassenaar 							2	1	6	3	3	2	11	6	11	6	
 7 	Tripp Tuff 							1	0	6	2	7	5	14	7	14	7	
 8 	Sunny Sirinit 											1	2	1	2	1	2	
 9 	Lars Minsaas 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Christopher Casati	Boris Spanjaard 	12	4	1	0	1	0	14	4	14	4	
 2 	Vito Tonejc	Luuk Wassenaar 			3	2	3	2	6	4	6	4	
 3 	Fran Tonejc	Tripp Tuff 			4	6	5	0	9	6	9	6	
 4 	Tamas Zador	Lars Minsaas 					0	0	0	0	0	0	

