

School:	Fairleigh Dickinson			
Coach:	jeff brandes	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	teodors pukse 	4	3											4	3	4	3	
 2 	andris gudins 			2	3	2	2							4	5	4	5	
 3 	maciej autuch 					1	1	1	2	2	1	1	0	5	4	5	4	
 4 	arjun sriram 									1	0	0	1	1	1	1	1	
 5 	moric budinszky 							1	2	0	1	1	1	2	4	2	4	
 6 	youssef sader 					1	2	0	2	2	0	2	0	5	4	5	4	
 7 	niclas pietsch 							0	1	0	1			0	2	0	2	
 8 	andrei oprisor 									0	1	1	0	1	1	1	1	
 9 	taiga koyama 											0	0	0	0	0	0	
 10 	eduardo cabral 											0	1	0	1	0	1	
 11 	dennis espiritu 											0	0	0	0	0	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	teodors pukse	andris gudins 	2	2	1	0			3	2	3	2	
 2 	moric budinszky	arjun sriram 			0	0			0	0	0	0	
 3 	niclas pietsch	eduardo cabral 					0	0	0	0	0	0	
 4 	maciej autuch	andrei oprisor 					0	1	0	1	0	1	

