

School:	FGCU			
Coach:	CJ Weber	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Magnus Johnson 	9	3											9	3	9	3	
 2 	Juan Montes 			7	4									7	4	7	4	
 3 	Randy Wilson 			0	1	5	5	1	1					6	7	6	7	
 4 	Felipe Ramirez 			0	2	1	1	1	1					2	4	2	4	
 5 	Guglielmo Stefanacci 							1	2	3	3	4	0	8	5	8	5	
 6 	Alessandro Conca 					0	1	3	4	0	2	0	2	3	9	3	9	
 7 	Max Damm 									0	1	0	2	0	3	0	3	
 8 	Feliksas Sakalauskas 									0	2	1	1	1	3	1	3	
 9 	Pedro Maciel 											1	2	1	2	1	2	
 10 	Carter Bradford 											0	0	0	0	0	0	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Magnus Johnson	Max Damm 	4	3	1	0	2	1	7	4	7	4	
 2 	Felipe Ramirez	Juan Montes 			2	1			2	1	2	1	
 3 	Randy Wilson	Feliksas Sakalauskas 					0	0	0	0	0	0	
 4 	Guglielmo Stefanacci	Carter Bradford 					0	0	0	0	0	0	

