

School:	Florida			
Coach:	Bryan Shelton	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Duarte Vale 	15	6											15	6	23	6	
 2 	Sam Riffice 			16	4	2	0							18	4	23	7	
 3 	Andy Andrade 			2	0	12	7							14	7	22	7	
 4 	Blaise Bicknell 							15	0	1	0	4	0	20	0	29	0	
 5 	Ben Shelton 							1	0	15	4	1	0	17	4	24	5	
 6 	Josh Goodger 									1	0	12	0	13	0	19	0	
 7 	Johannes Ingildsen 							3	3			1	0	4	3	4	3	
 8 	Lukas Greif 									1	0	3	1	4	1	11	2	
 9 	Brian Berdusco 											0	0	0	0	4	3	
 10 	Will Grant 											0	0	0	0	5	2	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Johannes Ingildsen	Duarte Vale 					0	0	0	0	0	0	
 2 	Sam Riffice	Ben Shelton 					4	0	4	0	6	1	
 3 	Brian Berdusco	Will Grant 					0	0	0	0	1	0	
 4 	Andy Andrade	Josh Goodger 					0	0	0	0	0	1	

