

School:	Georgia			
Coach:	Manny Diaz	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Trent Bryde 	9	10											9	10	14	13	
 2 	Tyler Zink 	1	0	6	5	2	0							9	5	11	9	
 3 	Philip Henning 			2	2	11	4							13	6	18	10	
 4 	Blake Croyder 			1	0	0	1	10	2	0	2			11	5	15	12	
 5 	Billy Rowe 					1	0	1	3	8	4	2	0	12	7	16	10	
 6 	Erik Grevelius 							0	1	2	0	7	3	9	4	15	8	
 7 	Baptiste Anselmo 							2	0	1	3	1	0	4	3	8	9	
 8 	Britton Johnston 											2	1	2	1	4	8	
 9 	Alex Diaz 											0	0	0	0	0	0	
 10 	Thomas Paulsell 											0	0	0	0	0	0	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Trent Bryde	Tyler Zink 	8	4					8	4	13	6	
 2 	Blake Croyder	Billy Rowe 			7	5	1	0	8	5	10	5	
 3 	Philip Henning	Erik Grevelius 			1	0	9	5	10	5	10	7	
 4 	Baptiste Anselmo	Britton Johnston 					0	0	0	0	4	2	

