

School:	Grand Canyon			
Coach:	Gregory Prudhomme	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Valentin Lang 	8	10											8	10	8	10	
 2 	Mariano Argote 			5	6	2	0							7	6	7	6	
 3 	Justin Cvitanovic 	0	1	0	8	4	6							4	15	4	15	
 4 	Jonathan Da Silva 	0	1					5	2	2	2	0	2	7	7	7	7	
 5 	Jiri Novak 					1	4	2	4	5	1			8	9	8	9	
 6 	Freddie Grant 							0	5	0	1	9	2	9	8	9	8	
 7 	Wolmar Boris-Moller 					0	1			0	8			0	9	0	9	
 8 	Loic Van Zeggelaar 											1	4	1	4	1	4	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Valentin Lang	Jiri Novak 	10	6					10	6	10	6	
 2 	Mariano Argote	Justin Cvitanovic 	0	1	7	4			7	5	7	5	
 3 	Freddie Grant	Loic Van Zeggelaar 					6	4	6	4	6	4	
 4 	Jonathan Da Silva	Wolmar Boris-Moller 					0	0	0	0	0	0	

