

School:	Illinois			
Coach:	Brad Dancer	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Aleks Kovacevic 	10	1											10	1	10	1	
 2 	Siphosothando Montsi 	6	1	7	2	2	0							15	3	15	3	
 3 	Alex Brown 	0	2	5	5	3	2							8	9	9	12	
 4 	Zeke Clark 					10	0	6	1					16	1	19	2	
 5 	Hunter Heck 							3	0	9	4	1	1	13	5	16	6	
 6 	Noe Khlif 							8	0	2	1	5	0	15	1	15	1	
 7 	Kweisi Kenyatte 							0	1	2	1	4	4	6	6	7	9	
 8 	Lucas Horve 											3	1	3	1	4	3	
 9 	Nic Meister 											0	0	0	0	0	0	
 10 	Vuk Budic 											0	0	0	0	0	0	
 11 	Alex Petrov 											0	0	0	0	0	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Alex Brown	Zeke Clark 	8	2	3	0	0	0	11	2	11	2	
 2 	Siphosothando Montsi	Noe Khlif 	0	0	5	1	5	1	10	2	10	2	
 3 	Aleks Kovacevic	Hunter Heck 	0	0	1	0	2	1	3	1	3	1	
 4 	Vuk Budic	Lucas Horve 	0	0	0	0	0	1	0	1	0	1	

