

School:	Liberty			
Coach:	Derek Schwandt	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Nicaise Muamba 	16	5											16	5	16	5	
 2 	Rafael Marques Da Silva 	2	0	9	2	6	1	2	3					19	6	19	6	
 3 	Josh Wilson 			6	5	2	1							8	6	8	6	
 4 	Deji Thomas-Smith 			4	0	2	3	5	4	1	0	3	1	15	8	15	8	
 5 	Christiaan Worst 					5	0	1	3	5	5	0	1	11	9	11	9	
 6 	Thando Longwe-Smit 							4	1	3	2	6	1	13	4	13	4	
 7 	Goncalo Ferreira 					0	5	2	2	4	3	3	1	9	11	9	11	
 8 	Zion Heaven 											4	4	4	4	4	4	
 9 	Steve Mundt 											1	0	1	0	1	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Christiaan Worst	Deji Thomas-Smith 	7	4	3	2			10	6	10	6	
 2 	Rafael Marques Da Silva	Nicaise Muamba 			9	3	7	2	16	5	16	5	
 3 	Josh Wilson	Steve Mundt 					7	1	7	1	7	1	
 4 	Goncalo Ferreira	Zion Heaven 					0	0	0	0	0	0	

