

School:	LSU			
Coach:	Chris Brandi	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Ronald Hohmann 	10	9											10	9	13	12	
 2 	Rafael Wagner 	2	0	5	9									7	9	11	13	
 3 	Joao Graca 			0	1	0	4	1	4	4	1			5	10	5	10	
 4 	Boris Kozlov 					2	0	5	4	3	2			10	6	13	11	
 5 	Benjamin Ambrosio 							2	1	1	3	6	2	9	6	9	6	
 6 	Ben Koch 									2	1	2	1	4	2	8	6	
 7 	Nick Watson 									1	0	0	1	1	1	3	5	
 8 	Tomas Descarrega 							1	0	1	0	1	3	3	3	5	7	
 9 	Joey Thomas 							1	0			2	2	3	2	3	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Rafael Wagner	Ronald Hohmann 	10	9					10	9	18	11	
 2 	Joey Thomas	Joao Graca 	1	0	6	10			7	10	7	10	
 3 	Nick Watson	Boris Kozlov 			1	0	10	5	11	5	13	10	
 4 	Tomas Descarrega	Ben Koch 					0	0	0	0	0	0	

