

School:	Memphis			
Coach:	Paul Goebel	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	James Story 	8	6											8	6	8	6	
 2 	David Stevenson 			2	5	6	3							8	8	8	8	
 3 	Oscar Cutting 			2	4	2	4	4	1					8	9	8	9	
 4 	Jan Pallares 			1	3	1	1	4	4					6	8	6	8	
 5 	Jeremy Taylor 							1	0	5	3	3	0	9	3	9	3	
 6 	Pau Fanlo 									2	2	4	3	6	5	6	5	
 7 	Patrick Sydow 											0	2	0	2	0	2	
 8 	Antoine Marleau 											0	0	0	0	0	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Oscar Cutting	David Stevenson 	9	6					9	6	9	6	
 2 	Jan Pallares	Patrick Sydow 			12	3			12	3	12	3	
 3 	James Story	Jeremy Taylor 					10	3	10	3	10	3	
 4 	Pau Fanlo	Antoine Marleau 					0	0	0	0	0	0	

