

School:	Miami (FL)			
Coach:	Aljosa Piric	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Adria Soriano Barrera 	9	6											9	6	9	6	
 2 	Bojan Jankulovski 			5	4	2	0	2	1					9	5	9	5	
 3 	Benjamin Hannestad 			0	5	5	5	1	0					6	10	6	10	
 4 	Stefan Milicevic 					1	3	4	7					5	10	5	10	
 5 	Oren Vasser 									3	1	6	5	9	6	9	6	
 6 	Franco Aubone 									6	6	1	4	7	10	7	10	
 7 	Stephen Madonia 											1	0	1	0	1	0	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Benjamin Hannestad	Franco Aubone 	7	8					7	8	7	8	
 2 	Adria Soriano Barrera	Oren Vasser 			2	2			2	2	2	2	
 3 	Bojan Jankulovski	Stefan Milicevic 					4	3	4	3	4	3	
 4											

