

School:	Michigan			
Coach:	Adam Steinberg	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Andrew Fenty 	10	3	3	1									13	4	16	9	
 2 	Ondrej Styler 	1	1	7	3									8	4	12	7	
 3 	Patrick Maloney 			2	0	7	3	0	1					9	4	9	4	
 4 	Mattias Siimar 			2	0	4	2	8	1					14	3	17	6	
 5 	Nick Beaty 					1	0	4	0	8	2			13	2	19	4	
 6 	Nino Ehrenschneider 									1	0	3	1	4	1	6	2	
 7 	Jacob Bickersteth 							1	0	5	0	3	4	9	4	10	4	
 8 	Connor Johnston 											2	3	2	3	4	10	
 9 	Harrison Brown 											0	0	0	0	0	3	
 10 	Kristofer Siimar 											0	0	0	0	2	1	
 11 	Ryan Fu 											0	0	0	0	0	6	
 12 	Jonathan Yaffe 											0	0	0	0	0	0	
 13 	Teddy Oosterbaan 											0	0	0	0	0	0	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Andrew Fenty	Mattias Siimar 	9	3					9	3	14	3	
 2 	Patrick Maloney	Ondrej Styler 			2	0			2	0	2	0	
 3 	Nino Ehrenschneider	Connor Johnston 					3	0	3	0	3	0	
 4 	Nick Beaty	Harry Brown 					3	2	3	2	3	4	

