

School:	Middle Tenn.			
Coach:	Jimmy Borendame	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Francisco Rocha 	5	3	3	1	5	1							13	5	13	5	
 2 	Stijn Slump 			9	2	7	3							16	5	16	5	
 3 	Tom Moonen 	5	6	1	4	2	1							8	11	8	11	
 4 	Christopher Edge 							15	5					15	5	15	5	
 5 	Pavel Motl 									6	3	3	3	9	6	9	6	
 6 	Oskar Michalek 									4	1	1	0	5	1	5	1	
 7 	Max Rauch 					2	0			1	2	7	2	10	4	10	4	
 8 	Sean Presson 							2	0	0	1			2	1	2	1	
 9 	Patrick Kristensen 											2	0	2	0	2	0	
 10 	Andreas Kramer 											0	0	0	0	0	0	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Pavel Motl	Stijn Slump 	9	9					9	9	9	9	
 2 	Tom Moonen	Christopher Edge 			15	6			15	6	15	6	
 3 	Francisco Rocha	Max Rauch 			2	0	9	9	11	9	11	9	
 4 	Sean Presson	Patrick Kristensen 					1	0	1	0	1	0	

