

School:	Monmouth			
Coach:	Chris Leicht	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	William Cooke Wharton 	9	4											9	4	9	4	
 2 	Max Benaim 			7	4	1	0							8	4	8	4	
 3 	Victor Castro 					4	0	9	2					13	2	13	2	
 4 	Lucca Silva 	0	2	3	0	4	1	1	1					8	4	8	4	
 5 	Sergio Martinez 							1	0	10	2	1	0	12	2	12	2	
 6 	Gabriel Busato 							1	0	1	1	12	1	14	2	14	2	
 7 	Charles Gortzounian 											1	0	1	0	1	0	
 8 	Christof Zeiler 											0	0	0	0	0	0	
 9 	Diego Laporta 											1	0	1	0	1	0	
 10 	Arthur Dussaubat 											0	0	0	0	0	0	
 11 	Austin Klapman 											0	0	0	0	0	0	
 12 	Arthur Dussaubat 											0	0	0	0	0	0	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Max Benaim	Sergio Martinez 	9	3					9	3	9	3	
 2 	Victor Castro	Lucca Silva 			7	1			7	1	7	1	
 3 	William Cooke Wharton	Charles Gortzounian 					9	1	9	1	9	1	
 4 	Gabriel Busato	Christof Zeiler 					0	0	0	0	0	0	

