

School:	NC State			
Coach:	Kyle Spencer	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Alexis Galarneau 	10	2											10	2	10	3	
 2 	Rafael Izquierdo Luque 	0	1	2	5	5	0	0	2					7	8	8	9	
 3 	Tadas Babelis 	0	2	2	1	3	4	0	1	0	1			5	9	6	10	
 4 	Yannai Barkai 			0	1	1	2	3	4			1	1	5	8	7	8	
 5 	Robin Catry 			1	1	1	1	4	3	4	0			10	5	10	6	
 6 	Robert Turzak 					0	1	4	1	2	2			6	4	7	5	
 7 	Martins Rocens 									1	2	4	1	5	3	5	5	
 8 	Joseph Schrader 									0	1			0	1	0	2	
 9 	Collin Shick 											0	1	0	1	0	2	
 10 	Tristan Smith 											1	0	1	0	1	1	
 11 	Braden Shick 											0	0	0	0	0	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tadas Babelis	Yannai Barkai 	4	3	1	0			5	3	6	3	
 2 	Robin Catry	Alexis Galarneau 			2	1			2	1	2	1	
 3 	Collin Shick	Robert Turzak 			0	0	0	1	0	1	0	1	
 4 	Rafael Izquierdo Luque	Joseph Schrader 					0	0	0	0	0	0	

