

School:	New Mexico			
Coach:	Ben Dunbar	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Raul Dobai 	7	5	2	2									9	7	9	7	
 2 	Dominic West 	1	2	6	3									7	5	7	5	
 3 	Stepan Holis 					5	5	2	0					7	5	7	5	
 4 	Rafael Abdulsalam 					0	1	3	3	3	2			6	6	6	6	
 5 	Jake Trondson 									3	0	5	4	8	4	8	4	
 6 	Sergio Molina 							0	6	1	1			1	7	1	7	
 7 	Nico Prieto 											2	1	2	1	2	1	
 8 	Alex Maggs 									0	1			0	1	0	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Dominic West	Sergio Molina 	8	3	3	0			11	3	11	3	
 2 	Jake Trondson	Raul Dobai 	1	3	7	4			8	7	8	7	
 3 	Alex Maggs	Stepan Holis 					5	4	5	4	5	4	
 4 	Nicolas Prieto	Rafael Abdulsalam 					0	0	0	0	0	0	

