

School:	North Carolina			
Coach:	Sam Paul	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	William Blumberg 	8	3											8	3	9	3	
 2 	Rinky Hijikata 	3	0	4	2	2	0							9	2	11	2	
 3 	Benjamin Sigouin 	1	3	5	4	3	2							9	9	9	9	
 4 	Brian Cernoch 			4	0	8	3	5	2					17	5	17	5	
 5 	Josh Peck 					3	1	2	1	3	1			8	3	8	3	
 6 	Simon Soendergaard 									4	2	6	3	10	5	11	6	
 7 	Logan Zapp 									3	2	4	1	7	3	8	4	
 8 	Mac Kiger 									3	1	5	5	8	6	8	6	
 9 	Anuj Watane 											0	0	0	0	3	2	
 10 	Adam Neff 											0	0	0	0	1	3	
 11 	peter Murphy 											0	0	0	0	1	1	
 12 	Mark Dillon 											0	0	0	0	2	2	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	William Blumberg	Brian Cernoch 	12	3					12	3	12	3	
 2 	Mac Kiger	Simon Soendergaard 	2	2	8	5			10	7	10	7	
 3 	Rinky Hijikata	Ben Sigouin 			2	2	3	3	5	5	5	5	
 4 	Peter Murphy	Josh Peck 					0	0	0	0	0	0	

