

School:	Northwestern			
Coach:	Arvid Swan	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Steven Forman 	5	2											5	2	5	2	
 2 	Dominik Stary 	4	4	4	0									8	4	9	6	
 3 	Nick Brookes 			8	2	1	5							9	7	11	9	
 4 	Chris Ephron 					4	4	5	1					9	5	12	6	
 5 	Trice Pickens 							5	7	3	3			8	10	13	10	
 6 	Simen Bratholm 									5	4			5	4	8	5	
 7 	Gleb Blekher 											4	3	4	3	8	3	
 8 	Presley Thieneman 											11	0	11	0	15	1	
 9 	Natan Spear 											0	0	0	0	4	0	
 10 	Abhijeet Joshi 											0	0	0	0	0	2	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Nick Brookes	Simen Bratholm 	9	4					9	4	12	7	
 2 	Chris Ephron	Dominik Stary 			12	4			12	4	12	4	
 3 	Steven Forman	Natan Spear 					5	1	5	1	5	1	
 4 	Gleb Blekher	Presley Thieneman 					0	0	0	0	0	0	

