

School:	Notre Dame			
Coach:	Ryan Sachire	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Axel Nefve 	13	2	5	1									18	3	18	3	
 2 	Richard Ciamarra 	5	3	9	4									14	7	14	7	
 3 	Tristan McCormick 			2	1	8	5							10	6	10	6	
 4 	William Howells 											2	1	2	1	2	1	
 5 	Matthew Che 			1	0	2	4	3	7	0	1			6	12	6	12	
 6 	Connor Fu 			1	0	2	0	4	3	5	5	0	1	12	9	12	9	
 7 	Brandon Ancona 									2	1	4	5	6	6	6	6	
 8 	Jean-Marc Malkowski 							0	1	2	4	1	0	3	5	3	5	
 9 	Braeden Ho 											2	2	2	2	2	2	
 10 	Matthew Gamble 					0	1			1	0			1	1	1	1	
 11 	Andrew Mariados 											2	1	2	1	2	1	
 12 	Matt Halpin 							1	1	1	0	0	1	2	2	2	2	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tristan McCormick	Axel Nefve 	10	4					10	4	10	4	
 2 	Brandon Ancona	William Howells 			4	2	3	3	7	5	7	5	
 3 	Matthew Che	Richard Ciamarra 			1	1	5	0	6	1	6	1	
 4 	Matthew Gamble	Jean-Marc Malkowski 					0	0	0	0	0	0	

