

School:	Ohio St.			
Coach:	Ty Tucker	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	John McNally 	10	2	6	2									16	4	21	4	
 2 	Cannon Kingsley 	9	0	12	0									21	0	27	0	
 3 	James Trotter 					13	1							13	1	13	1	
 4 	Justin Boulais 							5	1	2	0			7	1	7	1	
 5 	Kyle Seelig 					4	1	8	3	3	0			15	4	18	8	
 6 	JJ Tracy 							1	0	14	1	6	0	21	1	24	3	
 7 	Robert Cash 									1	0	9	4	10	4	16	4	
 8 	Tim Seibert 									1	0	1	0	2	0	2	0	
 9 	JJ Mercer 											0	0	0	0	4	3	
 10 	Lancelot Carnello 											0	0	0	0	0	1	
 11 	Andrew Lutschaunig 											0	0	0	0	0	0	
 12 	Jacob Wareti 											0	0	0	0	1	4	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	James Trotter	Justin Boulais 	3	2	4	1			7	3	7	3	
 2 	John McNally	Robert Cash 	7	3	6	1			13	4	14	5	
 3 	Cannon Kingsley	Kyle Seelig 			1	3	1	2	2	5	5	6	
 4 	JJ Tracy	JJ Mercer 					1	0	1	0	2	1	

