

School:	Oklahoma			
Coach:	Nick Crwoell	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Jake Van Emburgh 	4	9			4	1							8	10	8	13	
 2 	Mason Beiler 	1	2	7	4	3	2							11	8	16	13	
 3 	Alex Martinez 	0	1	2	3	6	2	4	1					12	7	15	13	
 4 	Nathan Han 							2	6	3	1	2	0	7	7	13	11	
 5 	Justin Schlageter 					1	0			3	5	2	1	6	6	10	12	
 6 	Mark Mandlik 	0	2	1	2	1	1	2	3	1	5	1	1	6	14	6	14	
 7 	Welsh Hotard 									0	1	6	2	6	3	12	7	
 8 	Jonathan Sheehy 											1	0	1	0	2	7	
 9 	Max Stewart 					0	1			1	0	2	2	3	3	3	3	
 10 	Matt Rodriguez 											0	0	0	0	3	4	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Mark Mandlik	Max Stewart 	0	1	0	1	2	1	2	3	2	3	
 2 	Jake Van Emburgh	Alex Martinez 			0	1			0	1	0	1	
 3 	Nathan Han	Mason Beiler 					1	0	1	0	1	0	
 4 	Jonathan Sheehy	Welsh Hotard 					0	0	0	0	0	0	

