

School:	Oklahoma St.			
Coach:	Scoville Jenkins	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Matej Vocel 	11	5											11	5	11	5	
 2 	Henrik Korsgaard 			3	2	3	7	3	0					9	9	9	9	
 3 	Emile Hudd 			2	5	5	2							7	7	9	9	
 4 	Mathieu Scaglia 					2	0	4	5	3	2			9	7	9	8	
 5 	Etienne Donnet 							1	0	3	4	4	5	8	9	9	14	
 6 	Matisse Bobichon 											4	4	4	4	4	4	
 7 	Luke Hammond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 8 	Max Tybar 									1	0			1	0	1	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Emile Hudd	Matej Vocel 	6	4					6	4	6	4	
 2 	Henrik Korsgaard	Luke Hammond 	0	0	0	0	0	0	0	0	0	0	
 3 	Etienne Donnet	Matisse Bobichon 	0	0	0	0	0	0	0	0	0	0	
 4 	Max Tybar	Mathieu Scaglia 	0	0	0	0	0	0	0	0	0	0	

