

School:	Ole Miss			
Coach:	Toby Hansson	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Tim Sandkaulen 	1	7	7	5									8	12	13	16	
 2 	Finn Reynolds 	4	9	6	1									10	10	10	10	
 3 	Nikola Slavic 			1	0	12	7							13	7	13	7	
 4 	John Hallquist Lithen 					1	0	5	6	6	1			12	7	12	7	
 5 	Simon Junk 							5	4	2	6	2	1	9	11	9	14	
 6 	Lukas Engelhardt 									0	3	3	4	3	7	3	7	
 7 	Jakob Cadonau 									0	1	3	3	3	4	3	4	
 8 	Jan Soren Hain 									0	1	1	1	1	2	1	8	
 9 	Brady Draheim 											0	0	0	0	2	7	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tim Sandkaulen	Finn Reynolds 	14	2					14	2	14	2	
 2 	Brady Draheim	Simon Junk 			8	7	3	2	11	9	11	9	
 3 	Jakob Cadonau	Lukas Engelhardt 					0	0	0	0	0	0	
 4 	Nikola Slavic	Jan Soren Hain 					0	0	0	0	0	0	

