

School:	Oregon			
Coach:	Nils Schyllander	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Emmanuel Coste 	5	4	6	2									11	6	11	6	
 2 	Joshua Charlton 	6	4	6	2									12	6	12	6	
 3 	Quinn Vandecasteele 			2	0	10	8							12	8	12	8	
 4 	Jesper Klov-Nilsson 							10	2	6	1	1	0	17	3	17	3	
 5 	Brandon Lam 					2	0	2	3	7	3			11	6	11	6	
 6 	Luke Vandecasteele 					1	0	3	1	2	1	3	6	9	8	9	8	
 7 	Ryoma Matsushita 									1	1	7	1	8	2	8	2	
 8 	Giorgio Soemarno 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 9 	Nima Movashaggi 											0	1	0	1	0	1	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Joshua Charlton	Quinn Vandecasteele 	9	3					9	3	9	3	
 2 	Emmanuel Coste	Jesper Klov-Nilsson 			4	5	8	3	12	8	12	8	
 3 	Brandon Lam	Ryoma Matsushita 					4	3	4	3	4	3	
 4 	Luke Vandecasteele	Giorgio Soemarno 					0	0	0	0	0	0	

