

School:	Pepperdine			
Coach:	Adam Schaechterle	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Adrian Oetzbach 	7	7	0	1									7	8	8	9	
 2 	Guy Den Ouden 			10	4	5	1							15	5	15	5	
 3 	Daniel DeJonge 			5	0	5	4							10	4	11	5	
 4 	Tim Zeitvogel 							4	0	3	0			7	0	7	0	
 5 	Corrado Summaria 					1	2	1	3	3	0	3	0	8	5	8	6	
 6 	Pietro Fellin 									0	3	8	0	8	3	8	5	
 7 	Robert Shelton 							2	3	4	1	1	0	7	4	8	5	
 8 	Pawel Jankowiak 											2	2	2	2	2	4	
 9 	Tom Grosjean 											0	0	0	0	0	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Adrian Oetzbach	Guy Den Ouden 	10	4					10	4	10	4	
 2 	Corrado Summaria	Tim Zeitvogel 			5	2			5	2	5	2	
 3 	Daniel DeJonge	Pietro Fellin 					3	3	3	3	3	3	
 4 	Pawel Jankowiak	Robert Shelton 					0	0	0	0	0	0	

