

School:	Presbyterian			
Coach:	John Collins	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Max Benson 	10	5	0	0	0	0	0	0	0	0	0	0	10	5	10	5	
 2 	Sebastian Dominguez 	1	0	2	3	1	3							4	6	4	6	
 3 	Nick McKinney 	0	0	0	0	3	1	5	0	5	0	0	0	13	1	13	1	
 4 	Georgije Babic 	0	0	2	3	0	5	0	0	0	0	0	0	2	8	2	8	
 5 	Daniel Stenger 	0	0	3	3	0	0	2	3	2	2	0	0	7	8	7	8	
 6 	Javier Matos 	0	0	0	0	1	0	0	0	0	0	6	2	7	2	7	2	
 7 	Alberto Conde 	0	0	0	0	0	0	4	0	1	2	1	1	6	3	6	3	
 8 	Teo Cariov 	0	0	0	0	1	1	1	2	2	0	0	0	4	3	4	3	
 9 	Daniel Martens 	0	0	0	0	0	0	0	0	0	2	0	5	0	7	0	7	
 10 	Vance Mercer 	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Daniel Stenger	Sebastian Dominguez 	2	1	4	3	0	0	6	4	6	4	
 2 	Javier Matos	Nick McKinney 	0	0	0	0	4	2	4	2	4	2	
 3 	Max Benson	Alberto Conde 	0	0	0	3	0	0	0	3	0	3	
 4 	Georgije Babic	Teo Cariov 	0	0	0	0	0	0	0	0	0	0	

