

School:	South Alabama			
Coach:	Nick Brochu	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Julien Evrard 	10	4	3	0									13	4	19	7	
 2 	Clement Marzol 	2	1	8	1	2	0							12	2	18	4	
 3 	Loic Cloes 			4	1	5	3							9	4	9	4	
 4 	Sebastien Collard 					4	0	7	4	0	2			11	6	20	6	
 5 	Louis Delcour 					0	1	4	2	5	2			9	5	9	5	
 6 	Martin Bugaj 									3	4	1	4	4	8	7	13	
 7 	Leon Petko 							1	0			1	5	2	5	2	5	
 8 	Philip Bosman 											2	2	2	2	4	8	
 9 	Jordan Coutinho 									1	0	0	1	1	1	5	6	
 10 	Ezra Blissard 											0	0	0	0	0	8	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Loic Cloes	Clement Marzol 	10	2					10	2	10	2	
 2 	Julien Evrard	Sebastien Collard 			4	6			4	6	10	9	
 3 	Louis Delcour	Leon Petko 					2	2	2	2	2	2	
 4 	Martin Bugaj	Philip Bosman 					0	0	0	0	0	1	

