

School:	South Carolina			
Coach:	Josh Goffi	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Daniel Rodrigues 	16	4											16	4	24	6	
 2 	Connor Thomson 			6	5	5	3							11	8	18	12	
 3 	Toby Samuel 					4	2	12	2					16	4	24	7	
 4 	Raphael Lambling 	1	0	2	7	3	3	0	2					6	12	11	18	
 5 	Jake Beasley 									7	7	5	1	12	8	18	10	
 6 	Thomas Brown 			1	0							2	2	3	2	11	6	
 7 	Phillip Jordan 					0	2	2	0	3	3	1	4	6	9	11	16	
 8 	Bruno Oliveira 							0	1			0	1	0	2	0	2	
 9 	Beau Pelletier 											2	1	2	1	7	6	
 10 	Carter Morgan 									0	1			0	1	2	7	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Daniel Rodrigues	Connor Thomson 	13	7					13	7	20	11	
 2 	Jake Beasley	Toby Samuel 			9	3	6	4	15	7	23	11	
 3 	Raphael Lambling	Phillip Jordan 			2	4	4	3	6	7	14	10	
 4 	Bruno Oliveira	Thomas Brown 	0	0					0	0	0	0	

