

School:	South Carolina St.			
Coach:	Hardeep Judge	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Aleksa Daskalovic 	2	6	0	1									2	7	2	7	
 2 	Marcelo Rodriguez 	0	1	5	3									5	4	5	4	
 3 	Elyes Marouani 					9	2							9	2	9	2	
 4 	Omer Gorgun 							6	3					6	3	6	3	
 5 	Diego Arzaluz 									5	3			5	3	5	3	
 6 	Luka Stefanovic 											4	1	4	1	4	1	
 7 	Erwan Momo 									1	0	3	3	4	3	4	3	
 8 	Selim Ben Ali 											0	0	0	0	0	0	
 9 	Skander Ben Abdallah 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Marcelo Rodriguez	Elyes Marouani 	6	6					6	6	6	6	
 2 	Aleksa Daskalovic	Erwan Momo 			4	4			4	4	4	4	
 3 	Diego Arzaluz	Selim Ben Ali 					3	3	3	3	3	3	
 4 	Omer Gorgun	Luka Stefanovic 					0	0	0	0	0	0	

