

School:	South Fla.			
Coach:	ashley fisher	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	jakub wojcik 	4	1	13	5									17	6	17	6	
 2 	chase ferguson 	8	9	5	0									13	9	13	9	
 3 	ivan yatsuk 	0	1	1	0	12	6	2	0					15	7	15	7	
 4 	antonio muniz-hidalgo 					1	1	1	1	1	0	2	2	5	4	5	4	
 5 	pierre luquet 					2	3	6	5	0	2			8	10	8	10	
 6 	sergio gomez-montesa 							3	3	8	6	2	1	13	10	13	10	
 7 	manuel goncalves 											2	2	2	2	2	2	
 8 	alvin tudorica 									1	1	5	3	6	4	6	4	
 9 	rithvik bollipalli 							0	1	1	1	1	3	2	5	2	5	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	rithvik bollipalli	jakub wojcik 	9	7					9	7	9	7	
 2 	Chase Ferguson	Ivan Yatsuk 	1	1	1	0			2	1	2	1	
 3 	Manuel Goncalves	Alvin Tudorica 					0	0	0	0	0	0	
 4 	Sergio Gomez-Montesa	Antonio Muniz-Hidalgo 					0	2	0	2	0	2	

