

School:	Stanford			
Coach:	Paul Goldstein	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Axel Geller 	5	6	1	0									6	6	6	6	
 2 	Arthur Fery 	1	0	6	2	2	1	2	0					11	3	11	3	
 3 	Tristan Boyer 	0	1	1	0	1	1	6	3					8	5	8	5	
 4 	Alex Rotsaert 	1	0	0	3	3	3							4	6	4	6	
 5 	Timothy Sah 					2	0	0	1	6	3			8	4	8	4	
 6 	William Genesen 							1	0	1	1	3	2	5	3	5	3	
 7 	Neel Rajesh 							1	0	0	1	4	1	5	2	5	2	
 8 	Aryan Chaudhary 									1	0	0	1	1	1	1	1	
 9 	Filip Kolasinski 											1	0	1	0	1	0	
 10 	Alex Lee 									1	0	0	1	1	1	1	1	
 11 	Tomas Kopczynski 											0	0	0	0	0	0	
 12 	Kento Perera 											0	0	0	0	0	0	
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Geller	Kopczynski 	2	0	1	0			3	0	3	0	
 2 	Boyer	Sah 	0	1	3	2			3	3	3	3	
 3 	Fery	Rotsaert 			2	1	7	0	9	1	9	1	
 4 	Rajesh	Chaudhary 					0	0	0	0	0	0	

