

School:	TCU			
Coach:	David Roditi	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Alastair Gray 	6	4	7	3									13	7	13	7	
 2 	Luc Fomba 	5	3	7	3									12	6	12	6	
 3 	Sander Jong 					10	5	0	2					10	7	11	8	
 4 	Jake Fearnley 							4	2	2	0	2	1	8	3	8	3	
 5 	Tomas Jirousek 					0	2	5	2	1	1			6	5	7	6	
 6 	Tadeas Paroulek 							0	1	6	7	1	3	7	11	7	12	
 7 	Juan Martin 									1	2	6	1	7	3	8	4	
 8 	Bertus Kruger 									1	1	1	1	2	2	2	2	
 9 	Max Kurzban 											0	1	0	1	0	3	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Alastair Gray	Luc Fomba 	10	6	1	0			11	6	13	6	
 2 	Sander Jong	Tadeas Paroulek 	0	1	8	1	2	1	10	3	11	4	
 3 	Bertus Kruger	Jake Fearnley 			2	2	2	1	4	3	4	3	
 4 	Max Kurzban	Tomas Jirousek 	0	0	0	0	0	0	0	0	0	0	

