

School:	Tennessee			
Coach:	Chris Woodruff 	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Adam Walton 	8	7	2	1									10	8	16	10	
 2 	Johannus Monday 	4	1	17	3	1	0							22	4	31	6	
 3 	Martim Prata 	1	0	2	0	11	8	1	0					15	8	22	12	
 4 	Luca Wiedenmann 							8	2	12	1			20	3	30	4	
 5 	Giles Hussey 					2	0	7	3	9	0			18	3	29	4	
 6 	Pat Harper 									0	1	5	3	5	4	12	5	
 7 	Andrew Rogers 											3	3	3	3	10	3	
 8 	Mark Wallner 					1	0	1	1			3	1	5	2	12	2	
 9 	Joel Gamerov 									1	0	1	1	2	1	6	5	
 10 	Josh Raab 											1	0	1	0	7	3	
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Adam Walton	Pat Harper 	15	6					15	6	22	7	
 2 	Johannus Monday	Martim Prata 	4	0	12	7			16	7	17	8	
 3 	Mark Wallner	Giles Hussey 			1	0	14	5	15	5	15	5	
 4 	Andrew Rogers	Joel Gamerov 					0	0	0	0	0	0	

