

School:	Texas			
Coach:	Bruce Berque	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Eliot Spizzirri 	9	6	5	2	1	0							15	8	22	9	
 2 	Micah Braswell 			9	4	8	1							17	5	32	6	
 3 	Siem Woldeab 	3	4	1	2	5	1							9	7	14	12	
 4 	Cleeve Harper 					3	2	14	3					17	5	22	9	
 5 	Chih Chi Huang 							2	1	9	7			11	8	15	17	
 6 	Evin McDonald 							1	0	4	1	6	9	11	10	15	16	
 7 	Nevin Arimilli 											5	1	5	1	9	9	
 8 	Leighton Allen 											1	0	1	0	5	11	
 9 	Payton Holden 											0	0	0	0	6	3	
 10 	Jacob Bullard 									0	1			0	1	9	7	
 11 	Eshan Talluri 											0	0	0	0	4	7	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Eliot Spizzirri	Siem Woldeab 	12	9					12	9	19	9	
 2 	Cleeve Harper	Chih Chi Huang 	1	0	5	4			6	4	10	7	
 3 	Micah Braswell	Payton Holden 					4	1	4	1	7	2	
 4 	Nevin Arimilli	Evin McDonald 					0	0	0	0	1	0	

