

School:	Texas A&M			
Coach:	Steve Denton	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Valentin Vacherot 	13	2	3	1									16	3	21	5	
 2 	Hady Habib 	3	1	7	3									10	4	15	5	
 3 	Juan Carlos Aguilar 			4	2	6	6							10	8	15	10	
 4 	Noah Schachter 			2	0	3	5	7	5					12	10	19	13	
 5 	Pierce Rollins 	1	0			1	0	2	2	3	3	1	0	8	5	15	9	
 6 	Guido Marson 							3	1	2	5			5	6	7	9	
 7 	Raphael Perot 							1	1	4	2	6	5	11	8	16	11	
 8 	Bjorn Thomson 			1	0					0	2	4	3	5	5	8	5	
 9 	Pranav Kumar 									1	0			1	0	1	2	
 10 	Kenner Taylor 											1	0	1	0	6	3	
 11 	Austin Abbrat 											0	0	0	0	1	1	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Jun Carlos Aguilar	Bjorn Thomson 	7	6					7	6	10	8	
 2 	Valentin Vacherot	Pierce Rollins 	1	0	5	3	6	2	12	5	15	5	
 3 	Pranav Kumar	Noah Schachter 					7	4	7	4	7	4	
 4 	Hady Habib	Kenner Taylor 					0	0	0	0	1	0	

