

School:	Tulane			
Coach:	Mark Booras	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Hamish Stewart 	12	7											12	7	12	7	
 2 	Ewan Moore 	1	0	9	7									10	7	10	7	
 3 	Luis Erlenbusch 			1	0	13	5							14	5	14	5	
 4 	Billy Suarez 					1	0	8	5	0	1			9	6	9	6	
 5 	Rafael de Alba 							0	1	3	2	9	1	12	4	12	4	
 6 	Akos Kotorman 							1	0	0	1	1	2	2	3	2	3	
 7 	Fynn Kuenkler 			1	0			0	1	3	5	1	2	5	8	5	8	
 8 	Benji Jacobson 											0	0	0	0	0	0	
 9 	Charlie Barry 					0	1							0	1	0	1	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Hamish Stewart	Ewan Moore 	12	6					12	6	12	6	
 2 	Akos Kotorman	Billy Suarez 			12	6			12	6	12	6	
 3 	Luis Erlenbusch	Fynn Kuenkler 					10	4	10	4	10	4	
 4 	Benji Jacobson	Charlie Barry 					0	0	0	0	0	0	

