

School:	UC Santa Barbara			
Coach:	Marty Davis	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Joseph Guillin 	8	2											8	2	8	2	
 2 	Stefano Tsorotiotis 			4	5									4	5	4	5	
 3 	Victor Krustev 	3	1			7	1	0	1					10	3	10	3	
 4 	Pablo Masjuan 			2	2			4	0	2	0	1	2	9	4	9	4	
 5 	Joey Rotheram 					3	1			3	2	0	1	6	4	6	4	
 6 	Kai Brady 							3	1			4	1	7	2	7	2	
 7 	Alejandro Vedri 					0	1	2	2	1	1			3	4	3	4	
 8 	Josh Williams 									1	1			1	1	1	1	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Tsorotiotis	Vedri 	4	3					4	3	4	3	
 2 	Krustev	Rotheram 	0	1	4	5			4	6	4	6	
 3 	Guillin	Brady 					6	1	6	1	6	1	
 4 	Masjuan	Williams 					0	0	0	0	0	0	

