

School:	UCF			
Coach:	JOHN RODDICK	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	GABRIEL DECAMPS 	16	4											16	4	16	4	
 2 	ALAN RUBIO 	1	0	8	5	1	0	2	2					12	7	12	7	
 3 	JUAN PABLO MAZZUCHI 			3	1	10	4	2	0					15	5	15	5	
 4 	KENTO YAMADA 					1	0	10	1	6	0			17	1	17	1	
 5 	TREY HILDERBRAND 			0	1	5	1	2	1	10	1			17	4	17	4	
 6 	MIKHAIL SOKOLOVSKIY 									1	1	13	4	14	5	14	5	
 7 	BOGDAN PAVEL 									0	2	2	1	2	3	2	3	
 8 	QUINN SNYDER 											0	0	0	0	0	0	
 9 	VASYL KISELYOV 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	TREY HILDERBRAND	BOGDAN PAVEL 	9	1					9	1	9	1	
 2 	JUAN PABLO MAZZUCHI	GABRIEL DECAMPS 			8	2			8	2	9	1	
 3 	ALAN RUBIO	KENTO YAMADA 					2	4	2	4	2	4	
 4 	MIKHAIL SOKOLOVSKIY	QUINN SNYDER 					0	0	0	0	0	0	

