

School:	UCLA			
Coach:	Billy Martin	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Govind Nanda 	2	2	6	1									8	3	8	3	
 2 	Drew Baird 			5	2	4	4							9	6	9	7	
 3 	Ben Goldberg 			0	1	5	2	3	5					8	8	9	8	
 4 	Sam Feit 					1	2	6	1	4	2			11	5	11	6	
 5 	Roscoe Bellamy 							1	0	2	1	5	1	8	2	8	2	
 6 	Mathew Tsolakyan 									6	1	4	2	10	3	11	3	
 7 	Patrick Zahraj 											1	2	1	2	1	2	
 8 	Stefan Leustian 											1	0	1	0	2	0	
 9 	Eric Hahn 											0	1	0	1	0	1	
 10 	Connor Hance 											0	0	0	0	0	1	
 11 	Bryce Pereira 											0	0	0	0	0	0	
 12 	Max Wild 											0	0	0	0	0	0	
 13 	Connor Rapp 											0	0	0	0	0	0	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Govind Nanda	Drew Baird 	2	2	2	3			4	5	4	5	
 2 	Bryce Pereira	Patrick Zahraj 			2	2			2	2	2	2	
 3 	Mathew Tsolakyan	Roscoe Bellamy 					5	3	5	3	5	3	
 4 	Ben Goldberg	Sam Feit 					0	0	0	0	0	0	

