

School:	UNCW			
Coach:	Mait DuBois	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Bruno Caula 	11	6											11	6	11	6	
 2 	Davide Innocenti 			8	3	0	1							8	4	8	4	
 3 	Daniel Groom 			3	1	7	3							10	4	10	4	
 4 	Bekhzod Rasamatov 			2	0	1	1	3	2	3	0	2	1	11	4	11	4	
 5 	Gabriel Hurtado 					3	0	1	3	4	3			8	6	8	6	
 6 	Michael Copeland 							4	3	4	1	5	2	13	6	13	6	
 7 	Leo Sprovieri 									2	0	6	1	8	1	8	1	
 8 	Dillon Gooch 											0	0	0	0	0	0	
 9 	John Dransfeld 											0	2	0	2	0	2	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Daniel Groom	Bruno Caula 	11	4					11	4	11	4	
 2 	Dillon Gooch	Bekhzod Rasamatov 			3	2	4	0	7	2	7	2	
 3 	Leo Sprovieri	Gabriel Hurtado 			1	1	6	1	7	2	7	2	
 4 	Michael Copeland	Davide Innocenti 					0	0	0	0	0	0	

