

School:	VCU			
Coach:	Anthony Rossi	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Lleyton Cronje 	10	2	2	1									12	3	12	3	
 2 	Charles Bertimon 	2	1	9	3									11	4	11	4	
 3 	Inigo Torre 					7	2	3	1					10	3	10	3	
 4 	Rayane Stable 					1	0	5	0	6	1	3	1	15	2	15	2	
 5 	Quentin Coulaud 			2	0	2	2	5	2	1	2			10	6	10	6	
 6 	Timo Zgraggen 					1	0	1	0	1	1	6	0	9	1	9	1	
 7 	David Cierny 									4	1	5	2	9	3	9	3	
 8 	Mario Duron 							1	0			1	0	2	0	2	0	
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Lleyton Cronje	David Cierny 	2	1	0	1			2	2	2	2	
 2 	Inigo Torre Martin	Rayane Stable 	0	1	11	1			11	2	11	2	
 3 	Quentin Coulaud	Charles Bertimon 	5	4	1	1	5	2	11	7	11	7	
 4 	Mario Duron	Timo Zgraggen 	0	0	0	0	0	0	0	0	0	0	

