

School:	Virginia Tech			
Coach:	Jim Thompson	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Mitch Harper 	7	4	0	0	0	0	0	0	0	0	0	0	7	4	7	4	
 2 	Alex Ribeiro 	1	1	2	1	2	3	0	0	0	0	0	0	5	5	5	5	
 3 	Matt Ross 	1	2	6	9	1	1	0	0	0	0	0	0	8	12	8	12	
 4 	Carlo Donato 	0	4	2	1	3	6	0	2	0	0	0	0	5	13	5	13	
 5 	Hugo Maia 	0	0	0	0	2	1	11	3	0	2	0	0	13	6	13	6	
 6 	Ryan Fishback 	0	0	0	0	0	0	2	0	7	5	4	1	13	6	13	6	
 7 	Alvaro Ariza 	0	0	0	0	0	0	0	0	3	1	6	4	9	5	9	5	
 8 	Jordan Chrysostom 	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	
 9 	Michael Shepheard 	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	
 10 	Chase Bernstine 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 11 	Ryan Kros 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 12 	Alex Ix 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 13 	Ryan Bernstine 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Jordan Chrysostom	Ryan Fishback 	6	4	2	0			8	4	8	4	
 2 	Mitch Harper	Alex Ribeiro 	0	0	3	4	0	0	3	4	3	4	
 3 	Carlo Donato	Alvaro Ariza 	0	0	0	0	1	1	1	1	1	1	
 4 	Ryan Kros	Micheal Shepheard 	0	0	0	0	0	2	0	2	0	2	

