

School:	Wake Forest			
Coach:	Tony Bresky	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Henri Squire 	15	6											15	6	15	6	
 2 	Eduardo Nava 	2	0	6	3	9	1							17	4	17	4	
 3 	Taha Baadi 	1	1	6	5	6	2							13	8	13	8	
 4 	Rrezart Cungu 	1	0	2	0	2	0	7	3	2	1	6	0	20	4	20	4	
 5 	Melios Efstathiou 	1	0			2	2	2	2	6	2	1	0	12	6	12	6	
 6 	Sid Banthia 	3	0	2	0	1	1	1	1	5	0	7	1	19	3	19	3	
 7 	Filippo Moroni 			1	0	3	1	2	2	0	1	4	0	10	4	10	4	
 8 	Robert Maciag 			2	0			5	2	2	1	2	0	11	3	11	3	
 9 	Adam Ambrozy 			2	0	1	0	2	0	5	1	1	0	11	1	11	1	
 10 	Luciano Tacchi 							1	0	3	0	3	0	7	0	7	0	
 11 	Matt Thomson 							1	0	1	0	3	0	5	0	5	0	
 12 	Juan Lopez 											2	0	2	0	2	0	
 13 	Yuval Solomon 											0	0	0	0	0	0	
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Nava	Squire 	13	5					13	5	13	5	
 2 	Thomson	Banthia 	5	1	7	4	5	1	17	6	17	6	
 3 	Efstathiou	Baadi 			4	1	8	4	12	5	12	5	
 4 	Ambrozy	Maciag 			4	0	1	0	5	0	5	0	

