

School:	Western Mich.			
Coach:	Dave Morin	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Jannik Opitz 	20	2											20	2	20	2	
 2 	Peter Kuszynski 	1	0	15	2	2	0							18	2	18	2	
 3 	Fynn Lohse 			3	0	7	4	5	1	1	0			16	5	16	5	
 4 	Jackson Boone 			2	1	6	2	5	3					13	6	13	6	
 5 	Arjun Honnappa 					1	0	5	0	11	3			17	3	17	3	
 6 	Ben George 							1	0	2	0	8	0	11	0	11	0	
 7 	Brogan Pierce 							1	0	3	1	12	1	16	2	16	2	
 8 	Zac Faveri 							1	0			1	0	2	0	2	0	
 9 	Jack Randall 											0	0	0	0	0	0	
 10 	Joaquin Caballer 							0	1	1	0	1	0	2	1	2	1	
 11 	Ferdinand Schluter 											0	0	0	0	0	0	
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Jannik Opitz	Peter Kuszynski 	0	0					0	0	0	0	
 2 	Jack Randall	Fynn Lohse 			6	0	1	0	7	0	7	0	
 3 	Zac Faveri	Joaquin Caballer 					0	0	0	0	0	0	
 4 	Ferdinand Schluter	Arjun Honnappa 					0	0	0	0	0	0	

