

School:	Wichita St.			
Coach:	Danny Bryan	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Murkel Dellien 	7	0	3	1	3	1							13	2	13	2	
 2 	Marius Frosa 	5	4	6	3									11	7	11	7	
 3 	Stefan Latinovic 	2	1	3	3	4	8							9	12	9	12	
 4 	Nicolas Acevedo 					2	1	7	4	3	3			12	8	12	8	
 5 	Orel Ovil 					0	2	4	5	6	3			10	10	10	10	
 6 	Luka Mrsic 									1	0	8	6	9	6	9	6	
 7 	Ray Lo 							1	0	5	1	4	2	10	3	10	3	
 8 	Alex Richards 											1	0	1	0	1	0	
 9 	Zach Grueber 											0	0	0	0	0	0	
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Murkel Dellien	Marius Frosa 	9	5					9	5	9	5	
 2 	Luka Mrsic	Orel Ovil 			5	5			5	5	5	5	
 3 	Stefan Latinovic	Nicolas Acevedo 					4	5	4	5	4	5	
 4 	Alex Richards	Zach Grueber 	0	0	0	0	0	0	0	0	0	0	

