seed	team	name
 1	FLA  	Andy Andrade
 1	FLA  	Ben Shelton
 1	FLA  	Blaise Bicknell
 1	FLA  	Brian Berdusco
 1	FLA  	Duarte Vale
 1	FLA  	Johannes Ingildsen
 1	FLA  	Josh Goodger
 1	FLA  	Lukas Greif
 1	FLA  	Sam Riffice
 1	FLA  	Will Grant
 2	BAY  	Adrian Boitan
 2	BAY  	Alex Garcia
 2	BAY  	Charlie Broom
 2	BAY  	Christopher Frantzen
 2	BAY  	Constantin Frantzen
 2	BAY  	Finn Bass
 2	BAY  	Joseph Chen
 2	BAY  	Matias Soto
 2	BAY  	Nick Stachowiak
 2	BAY  	Rahul Dhokia
 2	BAY  	Ryan Dickerson
 2	BAY  	Sebastian Nothhaft
 2	BAY  	Spencer Furman
 2	BAY  	Sven Lah
 3	TENN 	Adam Walton
 3	TENN 	Andrew Rogers
 3	TENN 	Giles Hussey
 3	TENN 	Joel Gamerov
 3	TENN 	Johannus Monday
 3	TENN 	Josh Raab
 3	TENN 	Luca Wiedenmann
 3	TENN 	Mark Wallner
 3	TENN 	Martim Prata
 3	TENN 	Pat Harper
 4	TEX  	Chih Chi Huang
 4	TEX  	Cleeve Harper
 4	TEX  	Eliot Spizzirri
 4	TEX  	Eshan Talluri
 4	TEX  	Evin McDonald
 4	TEX  	Jacob Bullard
 4	TEX  	Leighton Allen
 4	TEX  	Micah Braswell
 4	TEX  	Nevin Arimilli
 4	TEX  	Payton Holden
 4	TEX  	Siem Woldeab
 5	UVA  	Alexander Kiefer
 5	UVA  	Ammar Alhaqbani
 5	UVA  	Carl Soderlund
 5	UVA  	Chris Rodesch
 5	UVA  	Ethan Moszkowski
 5	UVA  	Gianni Ross
 5	UVA  	Inaki Montes de la Torre
 5	UVA  	Jefferson Dockter
 5	UVA  	Jeffrey von der Schulenburg
 5	UVA  	Jerome Romualdez
 5	UVA  	Matthew Lord
 5	UVA  	Ryan Goetz
 5	UVA  	Spencer Bozsik
 5	UVA  	William Woodall
 6	UNC  	Adam Neff
 6	UNC  	Anuj Watane
 6	UNC  	Ben Sigouin
 6	UNC  	Benjamin Sigouin
 6	UNC  	Brian Cernoch
 6	UNC  	Josh Peck
 6	UNC  	Logan Zapp
 6	UNC  	Mac Kiger
 6	UNC  	Mark Dillon
 6	UNC  	peter Murphy
 6	UNC  	Peter Murphy
 6	UNC  	Rinky Hijikata
 6	UNC  	Simon Soendergaard
 6	UNC  	William Blumberg
 7	TCU  	Alastair Gray
 7	TCU  	Bertus Kruger
 7	TCU  	Jake Fearnley
 7	TCU  	Juan Martin
 7	TCU  	Luc Fomba
 7	TCU  	Max Kurzban
 7	TCU  	Sander Jong
 7	TCU  	Tadeas Paroulek
 7	TCU  	Tomas Jirousek
 8	A&M  	Austin Abbrat
 8	A&M  	Bjorn Thomson
 8	A&M  	Guido Marson
 8	A&M  	Hady Habib
 8	A&M  	Juan Carlos Aguilar
 8	A&M  	Jun Carlos Aguilar
 8	A&M  	Kenner Taylor
 8	A&M  	Noah Schachter
 8	A&M  	Pierce Rollins
 8	A&M  	Pranav Kumar
 8	A&M  	Raphael Perot
 8	A&M  	Valentin Vacherot
 9	UCF  	ALAN RUBIO
 9	UCF  	BOGDAN PAVEL
 9	UCF  	GABRIEL DECAMPS
 9	UCF  	JUAN PABLO MAZZUCHI
 9	UCF  	KENTO YAMADA
 9	UCF  	MIKHAIL SOKOLOVSKIY
 9	UCF  	QUINN SNYDER
 9	UCF  	TREY HILDERBRAND
 9	UCF  	VASYL KISELYOV
10	WAKE 	Adam Ambrozy
10	WAKE 	Ambrozy
10	WAKE 	Baadi
10	WAKE 	Banthia
10	WAKE 	Eduardo Nava
10	WAKE 	Efstathiou
10	WAKE 	Filippo Moroni
10	WAKE 	Henri Squire
10	WAKE 	Juan Lopez
10	WAKE 	Luciano Tacchi
10	WAKE 	Maciag
10	WAKE 	Matt Thomson
10	WAKE 	Melios Efstathiou
10	WAKE 	Nava
10	WAKE 	Robert Maciag
10	WAKE 	Rrezart Cungu
10	WAKE 	Sid Banthia
10	WAKE 	Squire
10	WAKE 	Taha Baadi
10	WAKE 	Thomson
10	WAKE 	Yuval Solomon
11	UGA  	Alex Diaz
11	UGA  	Baptiste Anselmo
11	UGA  	Billy Rowe
11	UGA  	Blake Croyder
11	UGA  	Britton Johnston
11	UGA  	Erik Grevelius
11	UGA  	Philip Henning
11	UGA  	Thomas Paulsell
11	UGA  	Trent Bryde
11	UGA  	Tyler Zink
12	USC  	Bradley Frye
12	USC  	Colter Smith
12	USC  	Daniel Cukierman
12	USC  	Jake Sands
12	USC  	Lodewijk Weststrate
12	USC  	Riley Smith
12	USC  	Ryder Jackson
12	USC  	Sean Holt
12	USC  	Stefan Dostanic
13	SCAR 	Beau Pelletier
13	SCAR 	Bruno Oliveira
13	SCAR 	Carter Morgan
13	SCAR 	Connor Thomson
13	SCAR 	Daniel Rodrigues
13	SCAR 	Jake Beasley
13	SCAR 	Phillip Jordan
13	SCAR 	Raphael Lambling
13	SCAR 	Thomas Brown
13	SCAR 	Toby Samuel
14	UK   	Alexandre LeBlanc
14	UK   	Cesar Bourgois
14	UK   	Gabriel Diallo
14	UK   	Heman Nama
14	UK   	Jonathan Sorbo
14	UK   	Joshua Lapadat
14	UK   	Liam Draxl
14	UK   	Mathis Moysan
14	UK   	Millen Hurrion
14	UK   	Tate Sandman
14	UK   	Yasha Zemel
14	UK   	Ying-Ze Chen
15	MISS 	Brady Draheim
15	MISS 	Finn Reynolds
15	MISS 	Jakob Cadonau
15	MISS 	Jan Soren Hain
15	MISS 	John Hallquist Lithen
15	MISS 	Lukas Engelhardt
15	MISS 	Nikola Slavic
15	MISS 	Simon Junk
15	MISS 	Tim Sandkaulen
16	ILL  	Aleks Kovacevic
16	ILL  	Alex Brown
16	ILL  	Alex Petrov
16	ILL  	Hunter Heck
16	ILL  	Kweisi Kenyatte
16	ILL  	Lucas Horve
16	ILL  	Nic Meister
16	ILL  	Noe Khlif
16	ILL  	Siphosothando Montsi
16	ILL  	Vuk Budic
16	ILL  	Zeke Clark
  	AAMU 	Austin Smith
  	AAMU 	Cheng Chang
  	AAMU 	Divesh Gahlot
  	AAMU 	Fermin Ruiz
  	AAMU 	German Ruiz Crespo
  	AAMU 	Gjorgji Popovski
  	AAMU 	Natiphat Mulada
  	AAMU 	Panji Setiawan
  	AAMU 	Rodrigo Arana Rios
  	ARIZ 	Alejandro Reguant
  	ARIZ 	Carlos Hassey
  	ARIZ 	Conner Olsen
  	ARIZ 	Filip Malbasic
  	ARIZ 	Gustaf Strom
  	ARIZ 	Herman Hoeyeraal
  	ARIZ 	Hiroki Sakagawa
  	ARIZ 	Igor Karpovets
  	ARIZ 	Jared Horwood
  	ARIZ 	Jett Middleton
  	ARIZ 	Jett MIddleton
  	ARIZ 	Jonas Ziverts
  	ARIZ 	Nick Lagaev
  	ARK  	Adrien Burdet
  	ARK  	Aleksa Bucan
  	ARK  	Alex Reco
  	ARK  	Avery Zavala
  	ARK  	Enrique Paya
  	ARK  	Foster Rogers
  	ARK  	Hunter Harrison
  	ARK  	Jose Dominguez Alonso
  	ARK  	Josh Bortnick
  	ARK  	Max Verboven
  	ARK  	Melvin Manuel
  	ARK  	Nico Rouset
  	ARK  	Nico Rousett
  	ARK  	Riccardo Trione
  	AZST 	Christian Lerby
  	AZST 	George Stoupe
  	AZST 	Jonah Wilson
  	AZST 	Makey Rakotomalala
  	AZST 	Max McKennon
  	AZST 	Moritz Hoffmann
  	AZST 	Nathan Ponwith
  	AZST 	Nathan Ponwtih
  	AZST 	Spencer Brachman
  	AZST 	Tim Ruehl
  	BAMA 	Alexey Nesterov
  	BAMA 	Avi Shugar
  	BAMA 	Edson Ortiz
  	BAMA 	Gabriel Diaz Freire
  	BAMA 	Jeremy Gschwendtner
  	BAMA 	Marcelo Sepulveda Garza
  	BAMA 	Patrick Kaukovalta
  	BAMA 	Riccardo Roberto
  	BAMA 	Rudi Christiansen
  	BAMA 	Sam Fischer
  	BAMA 	Vincent Rettke
  	BAMA 	Zhe Zhou
  	BEL  	Alfred Wallin
  	BEL  	Arthur Toledo
  	BEL  	David Faulkner
  	BEL  	Diego Castro
  	BEL  	Grant Kelly
  	BEL  	Jake Briggs
  	BEL  	Marko Ilic
  	BEL  	Taisei Miyamoto
  	BEL  	Tomas Luis
  	CLEV 	Austin Staiger
  	CLEV 	Clark Bilinovich
  	CLEV 	Jack Santilli
  	CLEV 	Juandedios Abboud
  	CLEV 	Kade Mindry
  	CLEV 	Luke Phillips
  	CLEV 	Matt Terry
  	CLEV 	Maxime Mareschal-Hay
  	CLEV 	Nico Mostardi
  	CLEV 	Raul Teichmann
  	DEN  	Charlie Miller
  	DEN  	Daniel Krulig
  	DEN  	Ignacio Rivero Crespo
  	DEN  	James Davis
  	DEN  	John Zakowski
  	DEN  	Matt Summers
  	DEN  	Mattia Ros
  	DEN  	Nicolas Herrero Cuesta
  	DEN  	Peter Sallay
  	DEP  	Boris Spanjaard
  	DEP  	Christopher Casati
  	DEP  	Fran Tonejc
  	DEP  	Lars Minsaas
  	DEP  	Luuk Wassenaar
  	DEP  	Sunny Sirinit
  	DEP  	Tamas Zador
  	DEP  	Tripp Tuff
  	DEP  	Vito Tonejc
  	DUKE 	Andrew Dale
  	DUKE 	Andrew Zhang
  	DUKE 	Edu Guell
  	DUKE 	Faris Khan
  	DUKE 	Garrett Johns
  	DUKE 	Luca Keist
  	DUKE 	Michael Heller
  	DUKE 	Sean Sculley
  	ETSU 	Dimitri Badra
  	ETSU 	Frazier Rengifo
  	ETSU 	Juan Lugo
  	ETSU 	Juan Zabala
  	ETSU 	Miguel Este
  	ETSU 	MIguel Este
  	ETSU 	Milo Bargeron
  	ETSU 	Thiago Pernas
  	FDU  	andrei oprisor
  	FDU  	andris gudins
  	FDU  	arjun sriram
  	FDU  	dennis espiritu
  	FDU  	eduardo cabral
  	FDU  	maciej autuch
  	FDU  	moric budinszky
  	FDU  	niclas pietsch
  	FDU  	taiga koyama
  	FDU  	teodors pukse
  	FDU  	youssef sader
  	FGCU 	Alessandro Conca
  	FGCU 	Carter Bradford
  	FGCU 	Feliksas Sakalauskas
  	FGCU 	Felipe Ramirez
  	FGCU 	Guglielmo Stefanacci
  	FGCU 	Juan Montes
  	FGCU 	Magnus Johnson
  	FGCU 	Max Damm
  	FGCU 	Pedro Maciel
  	FGCU 	Randy Wilson
  	GCU  	Freddie Grant
  	GCU  	Jiri Novak
  	GCU  	Jonathan Da Silva
  	GCU  	Justin Cvitanovic
  	GCU  	Loic Van Zeggelaar
  	GCU  	Mariano Argote
  	GCU  	Valentin Lang
  	GCU  	Wolmar Boris-Moller
  	GT   	Andres Martin
  	GT   	Brandon Freestone
  	GT   	Brandon McKinney
  	GT   	Chen Dong
  	GT   	Keshav Chopra
  	GT   	Marcus McDaniel
