matchNum	line	round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	rating	ewp	utr	ita	texas	teamId	tickerName	id	rowIndex
401	1	64	2021-05-22	0.4166666666666667	1	UK	Draxl	Liam Draxl	2		6		7	7					2		99.354	0.6139557593128271	13.78	1	2		Draxl, Liam (UK)	511968	2
401	2	64	2021-05-22	0.4166666666666667		OSU	McNally	John McNally	6		1		6	4					1		98.548	0.38604424068717286	13.49	136	10		McNally, John (OSU)	432019	3
402	1	64	2021-05-22	0.4166666666666667		ND	Nefve	Axel Nefve	6		4		7						2		97.642	0.805176590354948	13.59	36	16		Nefve, Axel (ND)	487492	4
402	2	64	2021-05-22	0.4166666666666667		UGA	Henning	Philip Henning	4		6		5						1		95.177	0.19482340964505201	13.2	19	62		Henning, Philip (UGA)	498428	5
403	1	64	2021-05-22	0.75	9	TENN	Walton	Adam Walton	7		6								2		97.433	0.893720015067075	13.48	10	29		Walton, Adam (TEN)	461891	6
403	2	64	2021-05-22	0.75		DEN	Davis	James Davis	5		2										93.734	0.10627998493292498	12.62	93	126		Davis, James (DEN)	486502	7
404	1	64	2021-05-22	0.6458333333333334		SCAR	Thomson	Connor Thomson	2		1										95.027	0.4857566094355936	13.05	22	63		Thomson, Connor (SC)	511597	8
404	2	64	2021-05-22	0.6458333333333334		ILL	Clark	Zeke Clark	6		6								2		95.126	0.5142433905644064	13.3	95	60		Clark, Zeke (ILL)	397557	9
405	1	64	2021-05-22	0.7708333333333334	8	UCF	Decamps	Gabriel Decamps	2		6		7	9					2		97.759	0.6989221509055673	13.69	9	20		Decamps, Gabriel (UCF)	401237	10
405	2	64	2021-05-22	0.7708333333333334		TEX	Braswell	Micah Braswell	6		1		6	7					1		96.296	0.3010778490944327	13.43	38	31		Braswell, Micah (TEX)	528270	11
406	1	64	2021-05-22	0.7708333333333334		FLA	Andrade	Andy Andrade	7	7	6								2		96.245	0.7089984578362717	13.39	18	36		Andrade, Andy (UF)	385909	12
406	2	64	2021-05-22	0.7708333333333334		MTSU	Rocha	Francisco Rocha	6	2	0										94.698	0.2910015421637283	12.97	55	105		Rocha, Francisco (MTS)	485275	13
407	1	64	2021-05-22	0.4166666666666667	9	TCU	Fomba	Luc Fomba	6		4		6						2		97.226	0.838162791949778	13.43	17	17		Fomba, Luc (TCU)	489297	14
407	2	64	2021-05-22	0.4166666666666667		MISS	Slavic	Nikola Slavic	3		6		4						1		94.369	0.16183720805022198	13.08	29	91		Slavic, Nikola (OM)	513419	15
408	1	64	2021-05-22	0.4166666666666667		MSST	Oradini	Giovanni Oradini	6		2		6						2		95.803	0.4295239677910065	13.16	20	77		Oradini, Giovanni (MSU)	438580	16
408	2	64	2021-05-22	0.4166666666666667		WICH	Dellien	Murkel Dellien	4		6		2						1		96.296	0.5704760322089936	13.39	39	37		Dellien, Murkel (WS)	401620	17
409	1	64	2021-05-22	0.5625	4	A&M	Vacherot	Valentin Vacherot	2		7		6						2		98.47	0.7788433050502671	13.73	5	6		Vacherot, Valentin (TAM)	459505	18
409	2	64	2021-05-22	0.5625		ARIZ	Strom	Gustaf Strom	6		5		3						1		96.283	0.22115669494973278	13.47	45	11		Strom, Gustaf (AZ)	564319	19
410	1	64	2021-05-22	0.5833333333333334		USC	Smith	Riley Smith	7	7	6	5	7	7					2		96.485	0.7049439195514895	13.41	52	42		Smith, Riley (USC)	453064	20
410	2	64	2021-05-22	0.5833333333333334		VCU	Cronje	Lleyton Cronje	6	5	7	7	6	5					1		94.972	0.2950560804485104	12.94	76	107		Cronje, Lleyton (VCU)	513983	21
411	1	64	2021-05-22	0.7916666666666666	9	BAY	Soto	Matias Soto	4		3										97.368	0.7302454132974228	13.75	11	18		Soto, Matias (BAY)	453651	22
411	2	64	2021-05-22	0.7916666666666666		WAKE	Nava	Eduardo Nava	6		6								2		95.638	0.2697545867025772	13.24	40	47		Nava, Eduardo (WF)	436186	23
412	1	64	2021-05-22	0.6875		LSU	Hohmann	Ronnie Hohmann	2		6		6	4					1		95.451	0.2579048869983527	13.13	31	102		Hohmann, Ronnie (LSU)	520221	24
412	2	64	2021-05-22	0.6875		UNC	Hijikata	Rinky Hijikata	6		4		7	7					2		97.287	0.7420951130016473	13.62	24	19		Hijikata, Rinky (UNC)	514358	25
413	1	64	2021-05-22	0.75	6	FLA	Riffice	Sam Riffice	1		7		6						2		97.254	0.578356381420198	13.61	6	26		Riffice, Sam (UF)	488586	26
413	2	64	2021-05-22	0.75		AZST	Ponwith	Nathan Ponwith	6		5		2						1		96.705	0.421643618579802	13.3	79	44		Ponwith, Nathan (ASU)	491203	27
414	1	64	2021-05-22	0.6875		BAMA	Ortiz	Edson Ortiz	7	7	6	6	1						1		94.415	0.33694013260150224	12.9	43	110		Ortiz, Edson (ALA)	438760	28
414	2	64	2021-05-22	0.6875		GT	Martin	Andres Martin	6	2	7	8	6						2		95.591	0.6630598673984979		46	74		Martin, Andres (GT)	513067	29
415	1	64	2021-05-22	0.8125	9	MISS	Reynolds	Finn Reynolds	6		6								2		96.516	0.4695285558164075	13.31	16	59		Finn Reynolds	520891	30
