matchid	schedtime	matchstatus	team1	player1	team2	player2	score	winner	mtime	id1	id2	matchNum
8742		(completed)	UK  	Draxl, Liam (UK)             	OSU 	McNally, John (OSU)               	2,6,6,1,7,6,4    	1	2:10	511968	432019	401
8743		(completed)	ND  	Nefve, Axel (ND)             	UGA 	Henning, Philip (UGA)             	6,4,4,6,7,5,0    	1	2:28	487492	498428	402
8744		(completed)	TENN	Walton, Adam (TEN)           	DEN 	Davis, James (DEN)                	7,5,0,6,2        	1	1:25	461891	486502	403
8745		(completed)	SCAR	Thomson, Connor (SC)         	ILL 	Clark, Zeke (ILL)                 	2,6,1,6          	2	1:06	511597	397557	404
8746		(completed)	UCF 	Decamps, Gabriel (UCF)       	TEX 	Braswell, Micah (TEX)             	2,6,6,1,7,6,7    	1	2:08	401237	528270	405
8747		(completed)	FLA 	Andrade, Andy (UF)           	MTSU	Rocha, Francisco (MTS)            	7,6,2,6,0        	1	1:39	385909	485275	406
8748		(completed)	TCU 	Fomba, Luc (TCU)             	MISS	Slavic, Nikola (OM)               	6,3,4,6,6,4      	1	2:14	489297	513419	407
8749		(completed)	MSST	Oradini, Giovanni (MSU)      	WICH	Dellien, Murkel (WS)              	6,4,2,6,6,2      	1	2:05	438580	401620	408
8750		(completed)	A&M 	Vacherot, Valentin (TAM)     	ARIZ	Strom, Gustaf (AZ)                	2,6,7,5,0,6,3    	1	2:32	459505	564319	409
8751		(completed)	USC 	Smith, Riley (USC)           	VCU 	Cronje, Lleyton (VCU)             	7,6,5,6,7,5,7,6,5	1	3:04	453064	513983	410
8752		(completed)	BAY 	Soto, Matias (BAY)           	WAKE	Nava, Eduardo (WF)                	4,6,3,6          	2	1:22	453651	436186	411
8753		(completed)	LSU 	Hohmann, Ronnie (LSU)        	UNC 	Hijikata, Rinky (UNC)             	2,6,6,4,6,7,4    	2	2:08	520221	514358	412
8754		(completed)	FLA 	Riffice, Sam (UF)            	AZST	Ponwith, Nathan (ASU)             	1,6,7,5,0,6,2    	1	2:14	488586	491203	413
8755		(completed)	BAMA	Ortiz, Edson (ALA)           	GT  	Martin, Andres (GT)               	7,6,2,6,7,6,1,6  	2	2:51	438760	513067	414
8756		(completed)	UGA 	Zink, Tyler (UGA)            	WAKE	Montsi, Siphosothando (ILL)       	3,6,2,6          	2	1:12	511569	485650	416
8757		(completed)	FGCU	Johnson, Magnus (FGC)        	BAY 	Boitan, Adrian (BAY)              	1,6,6,4,3,6      	2	2:10	566473	497587	417
8758		(completed)	WAKE	Squire, Henri (WF)           	MSST	Broska, Florian (MSU)             	4,6,2,6          	2	1:18	521020	392974	418
8759		(completed)	USD 	Holmgren, August (USD)       	MISS	Sandkaulen, Tim (OM)              	7,5,0,3,6,6,4    	1	2:18	416362	448641	419
8760		(completed)	FLA 	Vale, Duarte (UF)            	UVA 	Von Der Schulenburg, Jeffrey (UVA)	6,1,6,0          	1	0:51	459591	564166	420
