set1	set1tb	set2	set2tb	set3	set3tb
2		6		7	7
6		1		6	4
6		4		7	
4		6		5	
7		6			
5		2			
2		1			
6		6			
2		6		7	9
6		1		6	7
7	7	6			
6	2	0			
6		4		6	
3		6		4	
6		2		6	
4		6		2	
2		7		6	
6		5		3	
7	7	6	5	7	7
6	5	7	7	6	5
4		3			
6		6			
2		6		6	4
6		4		7	7
1		7		6	
6		5		2	
7	7	6	6	1	
6	2	7	8	6	
6		6			
3		3			
3		2			
6		6			
1		6		3	
6		4		6	
6		6			
4		2			
7		3		6	
5		6		4	
1		0			
6		6			
4		4			
6		6			
4		7	7	3	
6		6	4	6	
4		4			
6		6			
2		1			
6		6			
					
					
6		6			
1		4			
6		6			
3		2			
6		7			
4		5			
6		6			
3		1			
6		6			
3		4			
6		6			
3		2			
3		4			
6		6			
3		6		6	
6		3		4	
7	8	6			
6	6	4			
6		6			
1		4			
6		3		6	
2		6		0	
6		6			
1		2			
6	2	4			
7	7	6			
2		6		6	
6		2		0	
4		6	4		
6		7	7		
1		6		6	
6		1		2	
4		7	7	6	
6		6	1	2	
6		2		2	
4		6		6	
7		6			
5		2			
1		0			
6		6			
6		6			
1		3			
1		6		4	
6		1		6	
3		0			
6		6			
3		6		7	
6		4		5	
5		6		6	
7		3		4	
6		3		6	
2		6		1	
6		6			
2		0			
6		5		6	
3		7		4	
3		1			
6		6			
6		4		0	
4		6		6	
4		6	5		
6		7	7		
7	8	6			
6	6	1			
3		0			
6		6			
6		6			
4		1			
1		3			
6		6			
6	5	6		1	
7	7	2		6	
6	1	1			
7	7	3			
3		6		4	
6		1		3	
