id	team	name	tickerName
511968	UK  	Liam Draxl                 	Draxl, Liam (UK)                  
432019	OSU 	John McNally               	McNally, John (OSU)               
487492	ND  	Axel Nefve                 	Nefve, Axel (ND)                  
498428	UGA 	Philip Henning             	Henning, Philip (UGA)             
461891	TENN	Adam Walton                	Walton, Adam (TEN)                
486502	DEN 	James Davis                	Davis, James (DEN)                
511597	SCAR	Connor Thomson             	Thomson, Connor (SC)              
397557	ILL 	Zeke Clark                 	Clark, Zeke (ILL)                 
401237	UCF 	Gabriel Decamps            	Decamps, Gabriel (UCF)            
528270	TEX 	Micah Braswell             	Braswell, Micah (TEX)             
385909	FLA 	Andy Andrade               	Andrade, Andy (UF)                
485275	MTSU	Francisco Rocha            	Rocha, Francisco (MTS)            
489297	TCU 	Luc Fomba                  	Fomba, Luc (TCU)                  
513419	MISS	Nikola Slavic              	Slavic, Nikola (OM)               
438580	MSST	Giovanni Oradini           	Oradini, Giovanni (MSU)           
401620	WICH	Murkel Dellien             	Dellien, Murkel (WS)              
459505	A&M 	Valentin Vacherot          	Vacherot, Valentin (TAM)          
564319	ARIZ	Gustaf Strom               	Strom, Gustaf (AZ)                
453064	USC 	Riley Smith                	Smith, Riley (USC)                
513983	VCU 	Lleyton Cronje             	Cronje, Lleyton (VCU)             
453651	BAY 	Matias Soto                	Soto, Matias (BAY)                
436186	WAKE	Eduardo Nava               	Nava, Eduardo (WF)                
520221	LSU 	Ronnie Hohmann             	Hohmann, Ronnie (LSU)             
514358	UNC 	Rinky Hijikata             	Hijikata, Rinky (UNC)             
488586	FLA 	Sam Riffice                	Riffice, Sam (UF)                 
491203	AZST	Nathan Ponwith             	Ponwith, Nathan (ASU)             
438760	BAMA	Edson Ortiz                	Ortiz, Edson (ALA)                
513067	GT  	Andres Martin              	Martin, Andres (GT)               
520891	MISS	Finn Reynolds              	Reynolds, Finn (OM)               
415674	BYU 	Sean Hill                  	Hill, Sean (BYU)                  
511569	UGA 	Tyler Zink                 	Zink, Tyler (UGA)                 
485650	WAKE	Siphosothando Montsi       	Montsi, Siphosothando (WF)        
485650	WAKE	Siphosothando Montsi       	Montsi, Siphosothando (ILL)        
566473	FGCU	Janmagnus Johnson          	Johnson, Magnus (FGC)          
497587	BAY 	Adrian Boitan              	Boitan, Adrian (BAY)              
392974	MSST	Florian Broska             	Broska, Florian (MSU)             
521020	WAKE	Henri Squire               	Squire, Henri (WF)                
416362	USD 	August Holmgren            	Holmgren, August (USD)            
448641	MISS	Tim Sandkaulen             	Sandkaulen, Tim (OM)              
564166	UVA 	Jeffrey Von Der Schulenburg	Von Der Schulenburg, Jeffrey (UVA)
459591	FLA 	Duarte Vale                	Vale, Duarte (UF)                 
562312	SALA	Julien Evrard              	Evrard, Julien (SAL)              
497830	TENN	Martim Prata               	Prata, Martim (TEN)               
454831	TULN	Hamish Stewart             	Stewart, Hamish (TLN)             
511971	UK  	Gabriel Diallo             	Diallo, Gabriel (UK)              
511704	OSU 	Cannon Kingsley            	Kingsley, Cannon (OSU)            
390976	UNC 	William Blumberg           	Blumberg, William (UNC)           
487890	TLSA	Kody Pearson               	Pearson, Kody (TUL)              
412687	A&M 	Hady Habib                 	Habib, Hady (TAM)                 
453605	MIA 	Adria Soriano Barrera      	Soriano Barrera, Adria (MIA)             
511970	UK  	Millen Hurrion             	Hurrion, Millen (UK)              
408573	NCST	Alexis Galarneau           	Galarneau, Alexis (NCS)           
498429	UGA 	Trent Bryde                	Bryde, Trent (UGA)                
423252	ILL 	Aleksandar Kovacevic       	Kovacevic, Aleksandar (ILL)       
513853	AUB 	Tyler Stice                	Stice, Tyler (AU)                 
520306	TEX 	Eliot Spizzirri            	Spizzirri, Eliot (TEX)            
527971	TENN	Johannus Monday            	Monday, Johannus (TEN)            
487509	OKST	Matej Vocel                	Vocel, Matej (OKS)                
384588	A&M 	Juan Carlos Aguilar        	Aguilar, Juan Carlos (TAM)               
399776	USC 	Daniel Cukierman           	Cukierman, Daniel (USC)           
411457	TCU 	Alastair Gray              	Gray, Alastair (TCU)              
464470	USF 	Jacob Wojcik               	Wojcik, Jacob (USF)               
513069	GT  	Marcus McDaniel            	McDaniel, Marcus (GT)             
497676	ETSU	Dimitri Badra              	Badra, Dimitri (ETS)              
485261	SCAR	Daniel Rodrigues           	Rodrigues, Daniel (SC)            
453365	UVA 	Carl Söderlund             	Soderlund, Carl (UVA)             
452926	UCLA	Keegan Smith               	Smith, Keegan (CLA)               
509770	FLA 	Blaise Bicknell            	Bicknell, Blaise (UF)             
561124	MSST	Nemanja Malesevic          	Malesevic, Nemanja (MSU)          
485260	SCAR	Raphael Lambling           	Lambling, Raphael (SC)            
451826	UNC 	Benjamin Sigouin           	Sigouin, Benjamin (UNC)           
466235	BAMA	Zhe Zhou                   	Zhou, Zhe (ALA)                   
409496	STAN	Axel Geller                	Geller, Axel (STA)                
498066	UCLA	Govind Nanda               	Nanda, Govind (CLA)               
412312	UCSB	Joseph Guillin             	Guillin, Joseph (CSB)             
